pair_id,primary_barrier_openai,feasibility_openai,specific_conflict_openai,additional_barriers_openai,reasoning_openai,_recoded_from_openai,primary_barrier_anthropic,feasibility_anthropic,specific_conflict_anthropic,additional_barriers_anthropic,reasoning_anthropic,_recoded_from_anthropic,primary_barrier_google,feasibility_google,specific_conflict_google,additional_barriers_google,reasoning_google,rater_coverage_count,rater_coverage
CPS_0344,CC.1,F3,CPS asks about hypothetical ability to work full-time if hours were available (availability/potential for full-time work) for the reference week; ACS asks whether the person actually did any paid work last week (actual work activity).,['TC.2'],"The core constructs differ: CPS measures potential/availability for full-time work, ACS measures observed work activity. That conceptual mismatch makes direct consolidation infeasible. (There is also a minor temporal framing ambiguity in CPS wording vs ACS explicit last-week reference.)",,CC.2,F3,CPS asks about conditional capacity (could work full time IF hours available); ACS asks about actual work performed (did ANY work for pay),['CC.1'],"These measure fundamentally different constructs. CPS operationalizes employment readiness/availability as a hypothetical capacity, while ACS operationalizes employment as actual behavior. The CPS question applies to non-workers; ACS applies to all respondents.",,CC.2,F3,Hypothetical availability for work vs. actual performance of work,['CC.1'],"CPS measures the subjective capacity/availability for more hours (underemployment/labor force attachment), whereas ACS measures the binary behavioral fact of working for pay.",3,"openai,anthropic,google"
CPS_0345,CC.1,F3,CPS asks whether the person could have worked full time if hours were available (availability/potential); ACS asks whether the person was on layoff last week (employment separation status).,[],The questions capture different concepts — potential supply of labor versus layoff status — so they are not directly harmonizable without strong assumptions.,,CC.1,F3,CPS asks about willingness/capacity to work full time if hours available; ACS asks about specific employment status (on layoff). These address different employment states.,['CC.2'],CPS measures labor force availability as a hypothetical; ACS measures a specific employment status condition. A person on layoff may or may not be willing/able to work full time if hours were available.,,CC.2,F3,Conditional availability for work vs. layoff status,[],"Being available for full-time work is a distinct construct from the status of being on layoff from a specific employer; one is a personal capacity, the other is an administrative/employment state.",3,"openai,anthropic,google"
CPS_0346,CC.1,F3,CPS asks about the ability to work full time if hours were available (potential availability); ACS asks whether the person was temporarily absent from a job last week (temporary employment absence).,[],Different conceptual targets (availability to work vs temporary absence from a job) prevent direct consolidation.,,CC.1,F3,CPS asks about conditional capacity to work full time; ACS asks about temporary absence from job. These are distinct employment situations with different meanings.,['CC.2'],CPS measures hypothetical labor supply; ACS measures a specific employment status (temporarily absent). A person temporarily absent may or may not have capacity to work full time if hours were available.,,CC.2,F3,Work availability vs. temporary absence from an existing job,[],"CPS measures availability for full-time hours, while ACS measures whether someone with an existing job was temporarily away (e.g., vacation, sick leave). These measure different segments of the labor force.",3,"openai,anthropic,google"
CPS_0347,CC.1,F3,CPS asks about hypothetical ability to work full time in the reference week; ACS asks when the person last worked (timing of last work spell).,['TC.2'],ACS asks for a historical timing (last time worked) while CPS asks about potential work in a specific reference week — different constructs and temporal orientations make direct harmonization infeasible.,,CC.1,F3,CPS asks about conditional capacity to work full time IF hours available; ACS asks about timing of last work. These measure different employment dimensions.,['TC.2'],"CPS measures current labor force availability (hypothetical); ACS measures employment history/recency. The temporal framing differs fundamentally—one is prospective capacity, one is retrospective timing.",,CC.2,F3,Current availability for hours vs. historical work timing,['TC.2'],"CPS focuses on immediate availability for full-time work, while the ACS question is a retrospective filter to determine the recency of labor force participation.",3,"openai,anthropic,google"
CPS_0348,CC.1,F3,CPS asks whether the employer has given a date to return to work (recall/return expectation); ACS asks whether the person worked for pay last week (actual employment activity).,[],"The CPS item captures future/expectation of recall, ACS captures observed work last week — conceptually distinct and not directly reconcilable.",,CC.1,F3,CPS asks about employer-provided return date (layoff recall indicator); ACS asks about actual work performed last week. These measure different employment states.,['TC.2'],"CPS measures layoff status and recall expectations; ACS measures actual employment activity. A person with a return date may not have worked last week, and vice versa.",,CC.2,F3,Recall expectation details vs. actual work participation,['MC.2'],"The CPS question is a probe for individuals already identified as not working (layoff specifics), while the ACS question is a primary screening question for employment status.",3,"openai,anthropic,google"
CPS_0349,CC.1,F3,CPS asks about an employer-provided return-to-work date (recall expectation); ACS asks whether the person did any paid work last week (actual work).,[],Different constructs (recall timing vs actual work activity) prevent direct consolidation.,,CC.1,F3,CPS asks about employer-provided return date; ACS asks about any work for pay (even one hour). These measure different employment dimensions.,['TC.2'],CPS measures layoff recall status; ACS measures actual work activity. These are distinct employment concepts—having a return date does not necessarily correlate with working any hours last week.,,CC.2,F3,Employer recall communication vs. performing work for pay,['MC.2'],One measures the communication between employer and employee regarding a return date; the other measures the performance of labor for compensation.,3,"openai,anthropic,google"
CPS_0350,CC.1,F2,CPS asks whether the employer has given a date to return to work (explicit recall/return date); ACS asks whether the person was on layoff last week (status of separation).,['TC.2'],"The items are related (an employer-given return date often indicates a recall from layoff) but are different constructs and reference frames (recall expectation vs last-week layoff status). Harmonization could be attempted statistically with assumptions about mapping recall-date responses to layoff/recall status, so adjustment (not simple recode) would be required.",,CC.2,F2,CPS asks about employer-provided return date (indicator of layoff status); ACS asks about being on layoff. These are related but operationalize layoff status differently.,['CC.1'],"Both relate to layoff status but measure different aspects. CPS uses return date as a proxy for layoff; ACS directly asks layoff status. A person on layoff may or may not have a return date. Statistical modeling could estimate layoff status from return date, but not perfectly.",,CC.4,F2,Specific component of layoff (return date) vs. general layoff status,['MC.2'],"CPS uses the return date to operationalize 'layoff' more strictly than ACS. While related, CPS requires a specific expectation of recall that is not explicitly asked in the ACS binary layoff question.",3,"openai,anthropic,google"
CPS_0351,CC.1,F3,CPS asks whether an employer has given a date to return to work (recall/return expectation); ACS asks whether the person was temporarily absent from a job last week (temporary absence status).,[],"These ask about different aspects of employment (future recall vs temporary absence), so they cannot be directly consolidated.",,CC.1,F3,CPS asks about employer-provided return date; ACS asks about temporary absence from job. These represent different employment situations.,['CC.2'],"CPS measures layoff recall expectations; ACS measures temporary absence status. These are distinct employment states. A person temporarily absent may not have a return date, and vice versa.",,CC.1,F3,Layoff recall expectations vs. temporary absence from an active job,[],"CPS is inquiring about a return date for someone currently not at work (layoff), while ACS is identifying people who have a job but were away for non-layoff reasons (vacation/illness).",3,"openai,anthropic,google"
CPS_0352,CC.1,F3,CPS asks about an employer-provided return date (recall expectation); ACS asks when the person last worked (timing of last employment).,['TC.2'],The CPS item targets recall/return information while ACS elicits a historical timing of work — different constructs and temporal orientation block direct harmonization.,,CC.1,F3,CPS asks about employer-provided return date; ACS asks about timing of last work. These measure different employment dimensions.,['TC.2'],CPS measures layoff recall status; ACS measures employment history recency. These are fundamentally different constructs with different temporal framings.,,CC.2,F3,Administrative recall status vs. historical work recency,['TC.2'],CPS looks for future return dates; ACS looks for the date of the last work experience. These address different ends of an employment gap.,3,"openai,anthropic,google"
CPS_0353,CC.1,F3,CPS asks whether the person has been given any indication they will be recalled within the next 6 months (future expectation over a 6‑month window); ACS asks whether the person worked for pay last week (actual work during a specific past week).,['TC.2'],"The CPS item measures prospective recall expectations over a multi-month horizon, whereas ACS measures point-in-time past-week activity — fundamentally different constructs and timeframes so direct consolidation is not feasible.",,CC.1,F3,CPS asks about recall indication within 6 months (layoff status); ACS asks about actual work performed last week. These measure different employment states.,"['TC.1', 'TC.2']","CPS measures layoff recall expectations with a 6-month horizon; ACS measures point-in-time work activity. The temporal reference periods differ (6-month prospective vs. 1-week retrospective), and the constructs are distinct (recall expectation vs. actual work).",,CC.2,F3,Future recall probability vs. past week work activity,['TC.2'],"CPS measures a future-oriented expectation of recall within a 6-month window to define layoff status, whereas ACS measures realized labor activity in the preceding 7 days.",3,"openai,anthropic,google"
CPS_0354,CC.1,F3,CPS asks whether respondent was given an indication they will be recalled to work within the next 6 months (an employer communication/expectation measure); ACS asks whether the person did any paid work LAST WEEK (actual activity).,"['TC.1', 'TC.2']","The core concepts differ (expectation/recall notice vs observed work activity). The questions also use different temporal frames (future 6-month expectation vs reference to last week), so they are not directly harmonizable.",,CC.1,F3,"CPS asks about future recall expectation (prospective, conditional); ACS asks about actual work performed last week (retrospective, behavioral)",['TC.2'],"These measure fundamentally different constructs: CPS captures employer indication of future recall (expectation/intention), while ACS captures actual work behavior. The temporal framing is also different (prospective vs. retrospective).",,CC.1,F3,CPS asks about future recall expectations for those on layoff; ACS asks about actual work participation last week.,"['TC.2', 'TC.3']","The core concepts are fundamentally different: one is a probe into future expectations for the purpose of classifying unemployment, while the other is a binary indicator of current labor activity.",3,"openai,anthropic,google"
CPS_0355,CC.1,F2,CPS asks about being given an indication of recall within the next 6 months (expectation/notice); ACS asks whether the person was on layoff LAST WEEK (status).,"['TC.1', 'TC.2']",Both relate to layoffs/recall but measure different constructs (employer indication/expectation vs on‑layoff status at a point in time). Harmonization would require modeling assumptions linking layoff status to recall indications.,,CC.1,F3,CPS asks about future recall expectation; ACS asks about current layoff status (actual employment state),['TC.2'],"CPS measures prospective employer communication about potential recall; ACS measures current employment status. These are related but distinct constructs—one is forward-looking expectation, the other is current state.",,CC.2,F2,CPS uses recall indication as a criterion for defining layoff status; ACS asks respondents to self-identify layoff status directly.,['TC.3'],"Both questions relate to the 'Layoff' construct, but CPS operationalizes it through a specific behavioral indicator (recall notice) whereas ACS uses a direct status question.",3,"openai,anthropic,google"
CPS_0356,CC.1,F2,CPS asks about having been given an indication of recall within the next 6 months; ACS asks whether the person was TEMPORARILY ABSENT from a job LAST WEEK (a different employment status).,"['TC.1', 'TC.2']","The construct measured (recall indication) is different from temporary absence; although related to employment interruptions, mapping requires assumptions about relationships between temporary absences and recall notices.",,CC.1,F3,CPS asks about future recall expectation; ACS asks about temporary absence from current job,['TC.2'],CPS measures prospective recall indication; ACS measures current temporary absence status. These address different employment situations and temporal orientations.,,CC.1,F3,"CPS measures criteria for being 'unemployed on layoff'; ACS measures the state of being 'employed but temporarily absent' (e.g., vacation/sick).",['TC.3'],These questions target mutually exclusive categories of the labor force framework (unemployed vs. employed).,3,"openai,anthropic,google"
CPS_0357,CC.1,F3,CPS asks if respondent has been given an indication they will be recalled within the next 6 months; ACS asks WHEN the person last worked (timing of actual work).,"['TC.1', 'TC.2']","The CPS item captures an employer communication about future recall, whereas ACS elicits the date of last work — fundamentally different constructs and temporal orientations, not directly harmonizable.",,CC.2,F3,"CPS asks about future recall expectation (prospective); ACS asks about timing of last work (retrospective, open-ended temporal reference)",['TC.2'],CPS operationalizes employment continuity through employer recall indication; ACS operationalizes it through recency of work. These are fundamentally different behavioral indicators.,,CC.1,F3,CPS focuses on the expectation of returning to work in the future; ACS focuses on the historical date of the last work experience.,['TC.2'],"One is a forward-looking expectation probe, and the other is a retrospective historical fact.",3,"openai,anthropic,google"
CPS_0358,CC.2,F2,CPS asks whether the person could have returned to work in a specified week IF recalled (hypothetical availability and reasons); ACS asks whether the person worked for pay LAST WEEK (actual behavior).,['TC.2'],"CPS measures conditional availability/reasons for not working; ACS measures observed work. They are related but operationalized differently, so harmonization would require assumptions or statistical adjustment.",,CC.1,F3,"CPS asks about ability to return if recalled (conditional, hypothetical); ACS asks about actual work performed (behavioral fact)",['TC.2'],"CPS measures capacity/willingness to return to work under a hypothetical condition; ACS measures actual work behavior. These are different constructs—one is conditional capacity, the other is actual behavior.",,CC.1,F3,CPS measures hypothetical availability to return to a job; ACS measures actual performance of work for pay.,"['MC.2', 'TC.3']",Hypothetical availability and actual labor participation are distinct labor force constructs that cannot be reconciled into a single metric.,3,"openai,anthropic,google"
CPS_0359,CC.2,F2,"CPS asks about hypothetical ability to return to work if recalled (availability); ACS asks whether the person did ANY work for pay LAST WEEK (actual incidence of work, even for 1+ hours).",['TC.2'],Hypothetical availability and actual short-duration work are different operationalizations of labor attachment. They can be related analytically but not directly recoded without modeling assumptions.,,CC.1,F3,"CPS asks about ability to return if recalled (conditional, hypothetical); ACS asks about any work performed (actual behavior, including minimal hours)",['TC.2'],CPS measures conditional capacity to return; ACS measures actual work behavior. The hypothetical nature of CPS versus the behavioral nature of ACS makes these fundamentally incompatible.,,CC.1,F3,CPS asks about availability to return to work if called back; ACS asks for a threshold-based work activity (even one hour).,"['CC.3', 'TC.3']","The questions distinguish between the ability to work and the actual performance of work, which represent different dimensions of labor supply.",3,"openai,anthropic,google"
CPS_0360,CC.1,F2,CPS asks whether the person could have returned to work if recalled (availability); ACS asks whether the person was on layoff LAST WEEK (status indicator).,['TC.2'],On‑layoff status and conditional returnability are distinct concepts (status vs capability/constraints). They are related to the same employment episode but require modeling to harmonize.,,CC.1,F3,CPS asks about ability to return if recalled (conditional capacity); ACS asks about current layoff status (employment state),['TC.2'],CPS measures hypothetical capacity to return to work; ACS measures actual current employment status. These address different dimensions of employment.,,CC.2,F2,CPS probes the availability condition for layoff classification; ACS asks for a self-report of being on layoff.,['MC.2'],"Both deal with the layoff status, but CPS uses the availability condition as a validation step for the official unemployment definition, while ACS relies on respondent perception.",3,"openai,anthropic,google"
CPS_0361,CC.2,F2,CPS asks about the ability to return to work if recalled (conditional/hypothetical); ACS asks whether the person was TEMPORARILY ABSENT from a job LAST WEEK (a factual absence status).,['TC.2'],"The CPS item elicits reasons/availability under a hypothetical recall scenario, while ACS captures actual temporary absence — different operational measures that need statistical linkage to harmonize.",,CC.1,F3,CPS asks about ability to return if recalled (conditional capacity); ACS asks about temporary absence from job (current employment state),['TC.2'],CPS measures conditional capacity; ACS measures current employment status. These are distinct constructs addressing different aspects of employment continuity.,,CC.1,F3,CPS measures availability for recall (unemployment); ACS measures temporary absence from an active job (employment).,['TC.3'],The two questions distinguish between two different labor force states that are conceptually distinct.,3,"openai,anthropic,google"
CPS_0362,CC.2,F2,CPS asks about hypothetical ability to return to work if recalled for a given week; ACS asks WHEN the person last worked (timing of last actual work).,"['TC.1', 'TC.2']","One question elicits conditional availability, the other elicits timing of last work — related but operationally different; harmonization would require assumptions linking availability responses to last-work timing.",,CC.2,F3,"CPS asks about ability to return if recalled (conditional capacity); ACS asks about timing of last work (retrospective, open-ended)",['TC.2'],CPS operationalizes employment through conditional capacity; ACS operationalizes it through recency of work. These are fundamentally different behavioral indicators.,,CC.1,F3,CPS measures a respondent's readiness/availability to start a job; ACS measures the time elapsed since the respondent last worked.,['TC.2'],"One measures current labor supply constraints (availability), while the other measures labor history (recency).",3,"openai,anthropic,google"
CPS_0363,CC.1,F2,CPS asks how long the person had been on layoff as of the end of a specified week (duration of layoff); ACS asks whether the person worked for pay LAST WEEK (binary activity indicator).,['TC.1'],Duration-on-layoff (a longitudinal duration measure) is conceptually different from a single-week binary work indicator; they can be related analytically but not directly recoded without modeling assumptions.,,CC.1,F3,CPS asks about duration of layoff (employment status detail); ACS asks about actual work performed (behavioral fact),['TC.2'],"CPS measures layoff duration (assumes layoff status and measures its length); ACS measures actual work behavior. These address different employment dimensions—one assumes a specific status and measures its duration, the other measures behavioral activity.",,CC.1,F3,CPS measures the duration of an unemployment spell (layoff); ACS measures point-in-time work participation.,"['TC.1', 'RS.2']",Duration of a state and the binary status of a state are fundamentally different data types (continuous/interval vs. categorical).,3,"openai,anthropic,google"
CPS_0364,CC.1,F3,"CPS asks how long the person had been on layoff (duration/layoff status), ACS asks whether the person did any paid work last week—different core concepts (layoff attachment vs recent work activity).",['CC.2'],"Primary problem is a concept mismatch: 'on layoff' (an employment attachment/status) is not the same as 'did any work' (an activity in the reference week). Some on‑layoff people may have done paid work and some non‑laid off people may not have worked, so direct consolidation is incompatible without strong assumptions.",,CC.1,F3,"CPS asks duration of layoff status; ACS asks whether any work was performed. These measure fundamentally different constructs—one measures job attachment duration, the other measures work activity.",['TC.2'],"The CPS question operationalizes layoff as a duration measure (how long), while ACS operationalizes employment as a binary work activity measure (did work). These are conceptually distinct despite both relating to employment status.",,CC.1,F3,The questions measure fundamentally different concepts: layoff duration vs. work activity.,"['RS.1', 'TC.3']","CPS measures the duration of a specific labor force state (layoff), while ACS measures whether any work for pay occurred. One is a measure of unemployment status characteristics, the other is an employment indicator.",3,"openai,anthropic,google"
CPS_0365,TC.3,F2,CPS asks duration on layoff as of the end of (the week before last/last week) while ACS asks binary layoff status specifically 'LAST WEEK'—calendar/reference alignment and different variable types (duration vs binary).,['CC.2'],"The main barrier is misaligned calendar/reference phrasing in CPS (may refer to week before last for some rotations) versus ACS's fixed 'last week', plus CPS elicits duration rather than a simple yes/no. Harmonization could be attempted via derivation (e.g., duration>0 -> binary) and statistical adjustment for calendar alignment, but requires assumptions about which reference was used and about rounding/reporting of durations.",,CC.2,F2,CPS asks duration of layoff (quantitative measure); ACS asks binary layoff status. CPS captures temporal dimension of job separation while ACS captures only current status.,['RS.1'],"Both address layoff but operationalize differently: CPS requires quantifying weeks on layoff (continuous/ordinal), while ACS requires yes/no response. Could potentially harmonize by converting ACS layoff status to duration categories, but requires assumptions about layoff length distribution.",,RS.1,F2,CPS asks for a numeric duration in weeks; ACS asks for a binary yes/no status.,['TC.3'],"While both address the concept of 'layoff,' CPS seeks a continuous variable (time) while ACS seeks a categorical indicator. One can derive the status from the duration, but not vice versa.",3,"openai,anthropic,google"
CPS_0366,CC.1,F2,CPS elicits how long someone had been on layoff; ACS asks whether the person was 'temporarily absent' from a job last week—these are related but distinct concepts (layoff implies job attachment and employer-initiated separation; temporary absence captures a range of reasons).,['TC.2'],"Conceptual mismatch is primary: temporary absence includes vacation, illness, strike, etc., not just layoffs. Some temporary absences map to layoff but many do not, so statistical modelling/assumptions would be required to reconcile the indicators; both reference roughly the same week, so temporal mismatch is secondary.",,CC.1,F3,"CPS asks duration of layoff (job separation); ACS asks temporary absence from job. Layoff implies job loss/separation, while temporary absence implies job retention with absence.",['CC.3'],These represent different employment states with different boundary conditions. Layoff is a separation status; temporary absence is a continuance status. Not directly comparable or consolidatable.,,CC.1,F3,Layoff and temporary absence are distinct labor force categories in BLS definitions.,['RS.1'],"A person on layoff is usually classified as unemployed (looking for work or waiting for recall), while a person temporarily absent is classified as employed. These represent different theoretical constructs.",3,"openai,anthropic,google"
CPS_0367,CC.2,F2,CPS asks duration on layoff as of a reference week; ACS asks 'When did this person last work?' (a last-work date)—different operational indicators (duration on layoff vs last-work timing).,['TC.1'],"These questions measure related constructs (time out of work) but in different operational forms. Converting a last-work date to a weeks‑on‑layoff measure (or vice versa) is possible but requires assumptions about reference anchoring, partial weeks, and interpretation of 'layoff' vs general non‑employment; thus harmonization requires statistical/derivation steps.",,CC.1,F3,"CPS asks duration of current layoff status; ACS asks when person last worked. These measure different temporal anchors—one measures duration of a current state, the other measures elapsed time since last work.",['TC.2'],CPS operationalizes layoff as ongoing status with duration; ACS operationalizes employment history as point-in-time recall. Different constructs and temporal framings prevent consolidation.,,CC.2,F3,One measures length of time since a layoff began; the other measures the specific date of last employment.,['RS.1'],"The duration of a current layoff (CPS) does not necessarily map to the last date of work (ACS), as the reason for leaving the last job or the start of the layoff period may not align.",3,"openai,anthropic,google"
CPS_0368,CC.1,F3,CPS requests exact number of weeks on layoff; ACS asks whether the person worked for pay last week—different core constructs (duration of layoff vs recent work activity).,['RS.4'],"The fundamental concept differs: weeks‑on‑layoff quantifies attachment loss while 'worked last week' is an activity indicator. A person could be on layoff for many weeks yet have done paid work in the reference week (or vice versa), so direct consolidation is not credible without untenable assumptions.",,CC.1,F3,"CPS asks quantified duration of layoff in weeks; ACS asks binary work activity in past week. One measures job separation duration, the other measures work performance.","['RS.1', 'TC.2']","Fundamentally different constructs: CPS measures layoff duration (continuous measure of job separation), ACS measures work activity (binary measure of employment engagement). Not consolidatable.",,CC.1,F3,One measures duration of layoff; the other measures presence of work for pay.,"['RS.1', 'TC.3']","Similar to CPS_0364, the variables target different labor market indicators (unemployment duration vs. employment status).",3,"openai,anthropic,google"
CPS_0369,CC.1,F3,CPS elicits number of weeks on layoff; ACS asks whether the person did any paid work (even one hour) last week—different concepts and incompatible measurement scales.,['RS.4'],"Same conceptual incompatibility as CPS_0368: binary worked/not‑worked in one week cannot reliably substitute for or reconstruct continuous weeks‑on‑layoff without strong, generally unjustified assumptions about simultaneous work and layoff statuses.",,CC.1,F3,CPS asks quantified weeks on layoff; ACS asks any work for pay. These measure opposite employment dimensions—job separation duration vs. work activity engagement.,"['RS.1', 'RS.4']",CPS requires numeric quantification of layoff duration; ACS requires binary response about work activity. Conceptually distinct measures with incompatible response formats.,,CC.1,F3,Layoff duration (unemployment) vs. any work for pay (employment).,"['RS.1', 'TC.3']",The constructs are mutually exclusive within the reference week; one tracks a period of non-work while the other checks for the presence of work.,3,"openai,anthropic,google"
CPS_0370,TC.3,F2,CPS asks for number of weeks on layoff as of the end of (the week before last/last week) while ACS asks whether the person was on layoff 'LAST WEEK'—misaligned calendar/reference phrasing and different variable form (continuous weeks vs binary status).,['CC.2'],"Primary barrier is calendar/reference alignment (CPS wording can refer to week before last in some rotations) and the different operationalization (duration vs yes/no). Mapping weeks to a binary is possible (weeks>0 -> yes) but requires confirming the exact reference week used and handling rounding/reporting differences, so statistical adjustment is needed.",,RS.1,F2,CPS asks quantified duration in weeks (numeric/continuous); ACS asks binary layoff status (yes/no). Response scale types are fundamentally different.,['CC.2'],"Both address layoff status but with incompatible operationalizations. CPS requires duration quantification while ACS requires binary confirmation. Could harmonize by converting ACS binary to duration categories, but requires modeling assumptions about layoff length.",,RS.1,F2,Numeric weeks of layoff vs. binary layoff status indicator.,['TC.3'],"The barrier is scale-related. The CPS question provides more granular data (duration) than the ACS binary indicator, though both concern the state of being on layoff.",3,"openai,anthropic,google"
CPS_0371,CC.1,F2,CPS requests number of weeks on layoff; ACS asks whether the person was 'temporarily absent' last week—different concepts (layoff vs temporary absence) though both reference a recent week.,['CC.2'],"Temporary absence covers many reasons beyond layoff. While related, these are not equivalent; harmonization would require modeling the probability that a temporary absence represents a layoff conditional on other data, so statistical adjustment and auxiliary information are necessary.",,CC.1,F3,CPS asks duration of layoff (job separation); ACS asks temporary absence (job retention). These represent mutually exclusive employment states.,['RS.1'],Layoff and temporary absence are distinct employment conditions. Layoff implies separation; temporary absence implies continued job attachment. Not consolidatable.,,CC.1,F3,Conceptual difference between layoff status and temporary absence status.,['RS.1'],These questions target different categories within the Labor Force framework. Layoff duration cannot be used to determine if someone was 'temporarily absent' from an active job.,3,"openai,anthropic,google"
CPS_0372,CC.2,F2,CPS elicits exact weeks on layoff; ACS asks 'When did this person last work?'—different operational indicators for time out of work (duration in weeks vs date of last work).,['TC.1'],"These are convertible in principle (compute weeks between last-work date and reference week) but require consistent reference anchors, assumptions about partial weeks and interview/reference timing, and possible imputation for imprecise dates; thus harmonization needs modeling/derivation.",,CC.1,F3,"CPS asks duration of layoff status; ACS asks when last worked. Different temporal anchors and constructs—one measures current separation duration, the other measures historical work timing.","['TC.2', 'RS.1']",CPS operationalizes layoff as ongoing status with quantified duration; ACS operationalizes employment history as retrospective timing. Incompatible constructs and temporal framings.,,CC.2,F2,Measures layoff duration in weeks vs. a specific time point of last work.,['RS.1'],"While both relate to timing of work separation, the operationalization differs (duration vs. date). Statistical adjustment might allow rough alignment but definitions of 'layoff' vs 'work' differ.",3,"openai,anthropic,google"
CPS_0373,CC.1,F3,CPS asks whether the person could have started a job if offered (availability/ability to start) in the reference week; ACS asks whether the person actually worked for pay last week—availability vs realized work are distinct constructs.,['TC.2'],Availability to start a job is a readiness/constraint measure and cannot be inferred from whether someone worked. Someone might have worked and still be unable to start a new job (or vice versa). Thus direct consolidation is incompatible without implausible assumptions.,,CC.1,F3,CPS asks job readiness/availability (could start if offered); ACS asks work activity (did work). These measure different employment dimensions—job search readiness vs. actual work performance.,['CC.2'],CPS measures potential/willingness to work (availability for employment); ACS measures actual work engagement. These are conceptually distinct aspects of employment status and not directly consolidatable.,,CC.1,F3,Labor force availability (potential) vs. labor force participation (actual work).,['TC.3'],"Availability to start a job is a criterion for being classified as 'unemployed,' while the ACS question determines if the person is 'employed.' These are distinct concepts.",3,"openai,anthropic,google"
CPS_0374,CC.1,F3,CPS asks about hypothetical availability to start a job during reference week (could have started if offered); ACS asks about actual work activity (did any paid work) last week.,['TC.2'],"The core concepts differ: availability/potential to take a job (CPS) vs actual employment activity (ACS). That is a fundamental construct mismatch; harmonization would require assumptions equating being available with having worked, which is not valid.",,CC.1,F3,CPS asks about hypothetical job availability (could have started if offered); ACS asks about actual work performed (did any work for pay),['CC.2'],These measure fundamentally different constructs. CPS measures job readiness/availability as a counterfactual; ACS measures actual work behavior. They cannot be mechanically recoded or statistically adjusted to represent the same concept.,,CC.2,F3,CPS measures labor force availability; ACS measures actual employment status.,['RS.1'],"The constructs are fundamentally different indicators of labor force participation: one identifies if an unemployed person is ready to work, while the other identifies if a person worked at all.",3,"openai,anthropic,google"
CPS_0375,CC.1,F3,CPS asks if respondent could have started a job if offered (availability); ACS asks whether the person was on layoff last week (a specific employment separation status).,[],Questions measure different constructs (ability/availability vs layoff status). Being on layoff implies a specific employment relationship and expectation of recall; it does not map directly to availability to start new work.,,CC.1,F3,CPS asks about hypothetical job availability (could have started if offered); ACS asks about specific employment status (on layoff),['CC.2'],CPS measures job readiness as a counterfactual condition; ACS measures a specific employment status category. These are conceptually distinct and not interchangeable.,,CC.2,F3,CPS measures start-job availability; ACS measures layoff status.,[],"While both relate to unemployment, they measure distinct operational criteria. Availability to start a job is a condition for being classified as 'unemployed,' whereas layoff is a reason for being without a job.",3,"openai,anthropic,google"
CPS_0376,CC.1,F3,CPS asks about ability to start work if offered (availability); ACS asks whether the person was temporarily absent from a job last week (employed-but-absent status).,[],"Different underlying constructs: availability for new work versus current employment/absence status. Temporary absence signals an existing job relationship, not the same notion as being able to start a new job.",,CC.1,F3,CPS asks about hypothetical job availability (could have started if offered); ACS asks about temporary absence from existing job,['CC.2'],CPS measures job readiness as a counterfactual; ACS measures a specific employment status condition (temporary absence). These represent different employment concepts.,,CC.2,F3,CPS measures availability to start a new job; ACS measures temporary absence from an existing job.,[],"These questions target different statuses within the labor force. ACS identifies individuals who have a job but are not currently working, whereas CPS identifies availability for those looking for work.",3,"openai,anthropic,google"
CPS_0377,CC.1,F3,CPS asks if respondent could have started a job if offered during the reference week (availability); ACS asks when the person last worked (timing of last work).,['TC.2'],"One question elicits availability during a specific week, the other elicits a retrospective time-since-last-work measure. These operationalize different constructs and cannot be directly equated without strong assumptions.",,TC.2,F3,CPS asks about hypothetical job availability in reference week; ACS asks retrospectively when person last worked (open-ended temporal reference),"['CC.1', 'CC.2']","CPS uses point-in-time framing of hypothetical availability; ACS uses retrospective open-ended recall of last work. Additionally, they measure different constructs (readiness vs. work history).",,CC.2,F3,CPS measures immediate labor availability; ACS measures historical work recency.,['TC.2'],"The CPS question focuses on the person's current capacity to start work, while the ACS question provides a timeline of when they last held a job.",3,"openai,anthropic,google"
CPS_0378,TC.2,F3,"CPS asks what the person was doing immediately before they started looking for work (an unspecified prior point in time); ACS asks whether the person worked for pay last week (a concrete, recent reference week).",['CC.1'],The temporal frames differ (status immediately before job search versus activity last week) and the constructs differ (broad activity category vs paid work last week). These differences prevent direct consolidation.,,TC.2,F3,CPS asks retrospectively about activity BEFORE job search began (past state); ACS asks about LAST WEEK actual work (current state),['CC.1'],Temporal framing is fundamentally different. CPS captures pre-search activity as context; ACS captures current week work behavior. These measure different time periods and concepts.,,TC.2,F3,CPS measures activity prior to a search; ACS measures work status in a specific reference week.,['CC.1'],"The temporal framing is different: CPS looks back to a point before a job search began, whereas ACS looks at a fixed 'last week' reference period.",3,"openai,anthropic,google"
