pair_id,primary_barrier_openai,feasibility_openai,specific_conflict_openai,additional_barriers_openai,reasoning_openai,primary_barrier_claude,feasibility_claude,specific_conflict_claude,additional_barriers_claude,reasoning_claude,barrier_l1_openai,barrier_l1_claude
CPS_0292,CC.1,F3,"CPS asks about current job status, while ACS asks about the last time the person worked.",[],The core concepts differ; one is about current job status and the other about historical work activity.,CC.1,F3,CPS measures current employment status (having a job in reference week); ACS measures timing of last work (retrospective employment history). Different constructs measuring different temporal dimensions.,['TC.2'],Employment status in a specific week cannot be harmonized with historical timing of last work. These measure different aspects of employment trajectory and are not substitutable.,CC,CC
CPS_0293,CC.1,F3,"CPS asks about job desire, while ACS asks about work for pay.",[],The questions address fundamentally different constructs: desire for work versus actual work performed.,CC.1,F3,"CPS measures desire/preference for employment (aspirational, future-oriented); ACS measures actual work performed in past week (behavioral, retrospective). Fundamentally different constructs.",['TC.2'],Job wanting (preference/intention) is conceptually distinct from actual work performed (behavior). CPS is present/habitual preference while ACS is retrospective activity. These cannot be harmonized as they measure different dimensions of employment.,CC,CC
CPS_0294,CC.1,F3,"CPS asks about current job desire, while ACS asks about past work activity.",[],The core concepts differ fundamentally; one measures desire for employment while the other measures actual work done.,CC.1,F3,CPS measures desire/intention for employment (forward-looking preference); ACS measures actual work behavior in past week (backward-looking activity),['TC.2'],These questions operationalize fundamentally different constructs: job-seeking intent vs. actual employment activity. CPS is habitual/aspirational while ACS is retrospective behavioral. Not harmonizable without substantial information loss.,CC,CC
CPS_0295,CC.1,F3,"CPS asks about job desire, while ACS inquires about layoff status.",[],"The questions address different constructs: one is about wanting a job, the other about being laid off.",CC.1,F3,CPS measures desire for employment (preference/intention); ACS measures layoff status (employment circumstance). These are orthogonal concepts.,['TC.2'],Job-seeking desire and layoff status measure different employment dimensions. Someone on layoff may or may not want a job; someone wanting a job may or may not be on layoff. Fundamentally incompatible constructs.,CC,CC
CPS_0296,CC.1,F3,"CPS asks about job desire, while ACS asks about temporary absence from work.",[],"The constructs are incompatible; one measures desire for work, while the other measures absence from work.",CC.1,F3,CPS measures job-seeking desire (preference); ACS measures temporary absence from existing job (employment continuity). Orthogonal concepts.,['TC.2'],Job-seeking intent and temporary absence from work are distinct employment dimensions. Not harmonizable as they measure different underlying constructs.,CC,CC
CPS_0297,CC.1,F3,"CPS asks about current job desire, while ACS asks about the last time the person worked.",[],"The questions focus on different aspects of employment; one is about desire, the other about past activity.",CC.1,F3,CPS measures current job desire (preference/intention); ACS measures timing of last employment (work history). Different constructs entirely.,['TC.2'],Job-seeking desire is forward-looking preference; last work timing is historical fact. These measure different employment dimensions and cannot be consolidated.,CC,CC
CPS_0298,TC.1,F2,"CPS refers to a specific week for layoff status, while ACS asks about work done in the last week.",[],"The temporal reference periods differ, complicating direct comparison of layoff status and work activity.",CC.1,F3,CPS measures layoff status (employment circumstance); ACS measures actual paid work activity. Someone on layoff may or may not have worked for pay.,['TC.2'],Layoff status and work activity are distinct employment states. Layoff is a specific employment circumstance; work activity is behavioral outcome. Not harmonizable.,TC,CC
CPS_0299,CC.1,F3,"CPS asks about layoff status, while ACS asks about any work done.",[],"The constructs are fundamentally different; one measures layoff status, the other measures work activity.",CC.1,F3,CPS measures layoff status (employment circumstance); ACS measures any paid work activity including minimal hours. These are different employment dimensions.,['TC.2'],Layoff status and work activity measure different aspects of employment. Someone on layoff could still do minimal paid work; someone doing paid work may not be on layoff. Incompatible constructs.,CC,CC
CPS_0300,CC.1,F1,Both questions ask about layoff status but differ in temporal framing.,[],"While similar, the questions differ in the reference period, making them partially harmonizable.",TC.1,F1,CPS asks about 'the week before last' or 'last week' (ambiguous dual reference); ACS asks specifically about 'last week' (fixed reference period). Minor temporal framing difference.,[],Both measure the same construct (layoff status) with nearly identical wording. Primary barrier is CPS's dual temporal reference ('week before last/last week') vs ACS's single 'last week' reference. Mechanically reconcilable through standardization to single reference period.,CC,TC
CPS_0301,CC.1,F3,"CPS asks about layoff status, while ACS asks about temporary absence.",[],"The questions address different constructs; one is about layoff, the other about temporary absence from work.",CC.1,F3,CPS measures layoff status (specific employment circumstance); ACS measures temporary absence from job/business (different employment circumstance). Related but distinct states.,['TC.2'],Layoff and temporary absence are different employment circumstances. Layoff implies job loss; temporary absence implies job continuity. Not harmonizable as they represent different employment states.,CC,CC
CPS_0302,CC.1,F3,"CPS asks about layoff status, while ACS asks about the last time the person worked.",[],"The questions focus on different aspects of employment; one is about layoff status, the other about past work.",CC.1,F3,CPS measures layoff status (current employment circumstance); ACS measures timing of last employment (work history). Different temporal and conceptual dimensions.,['TC.2'],Layoff status is a current employment circumstance; last work timing is historical. These measure different employment dimensions and cannot be consolidated.,CC,CC
CPS_0303,CC.1,F3,"CPS asks about job desire, while ACS asks about work done in the last week.",[],"The constructs are incompatible; one measures desire for work, while the other measures actual work done.",CC.1,F3,CPS measures job-seeking desire/intention (preference); ACS measures actual paid work activity (behavior). Forward-looking vs backward-looking constructs.,['TC.2'],Job-seeking desire is aspirational/intentional; actual work activity is behavioral outcome. Someone wanting a job may not have worked last week; someone who worked may not want a job. Fundamentally different constructs.,CC,CC
CPS_0304,CC.1,F3,"CPS asks about current job desire, while ACS measures actual work done in the last week.",[],"The core concepts differ: CPS focuses on job desire, whereas ACS focuses on job activity.",CC.1,F3,CPS measures desire/intention for employment (forward-looking preference); ACS measures actual work activity in past week (behavioral outcome),['TC.2'],These questions operationalize fundamentally different constructs: CPS captures job-seeking intent while ACS captures employment behavior. The temporal framing also differs (current desire vs. past week activity).,CC,CC
CPS_0305,CC.1,F3,"CPS asks about job desire, while ACS inquires about layoff status.",[],The questions address fundamentally different constructs: desire for work versus employment status.,CC.1,F3,CPS measures desire for employment (preference/intention); ACS measures layoff status (specific employment circumstance),[],These measure entirely different constructs. Job desire is a preference state while layoff status is an employment condition. No logical relationship exists between wanting a job and being on layoff.,CC,CC
CPS_0306,CC.1,F3,"CPS asks about job desire, while ACS asks about temporary absence from work.",[],"The constructs are incompatible: one measures desire for work, the other measures absence from work.",CC.1,F3,CPS measures desire for employment (preference); ACS measures temporary absence from existing job (employment status condition),['TC.2'],"Fundamentally different constructs: job desire vs. temporary work absence. Someone temporarily absent from work may or may not want a job, and wanting a job doesn't indicate temporary absence status.",CC,CC
CPS_0307,CC.1,F3,"CPS asks about current job desire, while ACS asks about the last time the person worked.",[],The questions focus on different aspects of employment: desire versus historical work activity.,CC.1,F3,CPS measures current desire for employment (preference/intention); ACS measures timing of last work activity (employment history),['TC.2'],These operationalize different constructs: job-seeking intent vs. employment recency. Wanting a job now is unrelated to when someone last worked.,CC,CC
CPS_0308,CC.1,F3,"CPS asks for reasons for absence, while ACS asks if the person worked for pay.",[],The questions are not comparable as they address different aspects of employment status.,CC.1,F3,CPS asks reason for work absence (conditional on being absent); ACS asks whether person worked for pay (binary employment activity),['MC.2'],"CPS question only applies to employed persons absent from work and captures reason; ACS measures basic employment activity. Different universes and constructs—one is conditional on absence, the other is unconditional employment measure.",CC,CC
CPS_0309,CC.1,F3,"CPS asks for reasons for absence, while ACS asks if the person did any work for pay.",[],The focus of the questions is fundamentally different: reasons for absence versus work activity.,CC.1,F3,CPS asks reason for work absence (conditional on being absent from job); ACS asks whether person did any work for pay (binary employment activity),['MC.2'],Fundamentally different constructs and universes. CPS is conditional on employment and absence; ACS is unconditional employment measure. Reason for absence cannot be directly compared to work activity.,CC,CC
CPS_0310,CC.1,F3,"CPS asks for reasons for absence, while ACS asks about layoff status.",[],The questions are incompatible as they pertain to different employment situations.,CC.1,F3,CPS asks reason for work absence (conditional on being absent); ACS measures layoff status (specific employment circumstance),['MC.2'],Different constructs and universes. CPS captures reasons for absence among employed persons; ACS captures layoff status. Layoff is one possible reason for absence but these are not equivalent measures.,CC,CC
CPS_0311,CC.1,F3,"CPS asks for reasons for absence, while ACS asks about temporary absence.",[],The questions differ in focus: reasons for absence versus the nature of absence.,CC.1,F2,CPS asks reason for work absence (conditional on being absent); ACS measures temporary absence status (binary indicator),['MC.2'],"Related but distinct constructs. CPS captures reasons for absence (of which temporary absence is one category); ACS captures whether person was temporarily absent. Could potentially map if 'temporary absence' is one of the CPS reason categories, but requires assumption about reason coding.",CC,CC
CPS_0312,CC.1,F3,"CPS asks for reasons for absence, while ACS asks when the person last worked.",[],The questions are not comparable as they address different aspects of employment.,CC.1,F3,CPS asks reason for work absence (conditional on being absent); ACS asks timing of last work activity (employment recency),['MC.2'],Different constructs and universes. CPS is conditional on current employment and absence; ACS measures employment history. Reason for absence is unrelated to when someone last worked.,CC,CC
CPS_0313,CC.1,F3,"CPS asks about multiple jobs, while ACS asks if the person worked for pay.",[],The questions focus on different employment aspects: job count versus work activity.,CC.2,F3,CPS asks about multiple job holding (operationalized as more than one job); ACS asks whether person worked for pay at any job (binary employment activity),['CC.4'],"Different operationalizations of employment. CPS measures job multiplicity (scope inclusion of secondary jobs); ACS measures basic employment activity. These capture different dimensions—one requires employment as prerequisite, the other is unconditional.",CC,CC
CPS_0314,CC.2,F3,"CPS asks about multiple jobs, while ACS asks about any work for pay.",[],The constructs being measured are fundamentally different; CPS focuses on multiple job holdings while ACS measures any work for pay.,CC.1,F3,CPS asks about multiple jobs (job count); ACS asks about any work for pay (employment status). These measure different constructs.,['CC.4'],"CPS operationalizes employment through job multiplicity (how many jobs), while ACS operationalizes it through work participation (whether any work occurred). These are fundamentally different conceptual dimensions that cannot be mechanically reconciled.",CC,CC
CPS_0315,CC.2,F3,"CPS asks about multiple jobs, while ACS asks about layoff status.",[],The constructs are incompatible; CPS measures job holdings while ACS measures layoff status.,CC.1,F3,CPS asks about multiple jobs; ACS asks about layoff status. These measure entirely different employment concepts.,[],Job multiplicity and layoff status are distinct employment dimensions with no logical relationship. No recoding or statistical adjustment can bridge this conceptual gap.,CC,CC
CPS_0316,CC.2,F3,"CPS asks about multiple jobs, while ACS asks about temporary absence from a job.",[],The constructs are fundamentally different; CPS focuses on job holdings while ACS measures temporary absence.,CC.1,F3,CPS asks about multiple jobs; ACS asks about temporary absence from work. These measure different employment dimensions.,['CC.4'],"Job count and temporary absence status are orthogonal constructs. A person with multiple jobs may or may not be temporarily absent, making these non-comparable measures.",CC,CC
CPS_0317,CC.2,F3,"CPS asks about multiple jobs, while ACS asks about the last time the person worked.",[],The constructs are incompatible; CPS measures job holdings while ACS measures the last work date.,CC.1,F3,CPS asks about current multiple jobs; ACS asks about timing of last work. These measure different employment dimensions.,['TC.2'],CPS measures current job multiplicity while ACS measures retrospective work history timing. These are fundamentally different constructs with different temporal framings.,CC,CC
CPS_0318,CC.2,F3,"CPS asks for the total number of jobs, while ACS asks about working for pay.",[],The constructs are fundamentally different; CPS measures total job count while ACS measures any work for pay.,CC.1,F3,CPS asks for count of jobs; ACS asks whether any work occurred. These measure different employment dimensions.,['RS.1'],CPS produces a numeric count (ordinal/continuous) while ACS produces a binary yes/no response. The constructs are fundamentally different: job count vs. work participation.,CC,CC
CPS_0319,CC.2,F3,"CPS asks for the total number of jobs, while ACS asks about any work for pay.",[],The constructs are incompatible; CPS measures total job count while ACS measures any work for pay.,CC.1,F3,CPS asks for total job count; ACS asks about any work for pay. These measure different employment dimensions.,['RS.1'],"Job count (numeric) and work participation (binary) are distinct constructs. A person with multiple jobs answers both affirmatively, but the questions measure different aspects of employment.",CC,CC
CPS_0320,CC.2,F3,"CPS asks for the total number of jobs, while ACS asks about layoff status.",[],The constructs are fundamentally different; CPS measures job count while ACS measures layoff status.,CC.1,F3,CPS asks for job count; ACS asks about layoff status. These are unrelated employment dimensions.,[],Job multiplicity and layoff status are orthogonal employment concepts with no logical relationship or recoding path.,CC,CC
CPS_0321,CC.2,F3,"CPS asks for the total number of jobs, while ACS asks about temporary absence.",[],The constructs are incompatible; CPS measures job count while ACS measures temporary absence.,CC.1,F3,CPS asks for job count; ACS asks about temporary absence. These measure different employment dimensions.,[],Job count and temporary absence status are distinct constructs. Temporary absence is independent of how many jobs a person holds.,CC,CC
CPS_0322,CC.2,F3,"CPS asks for the total number of jobs, while ACS asks about the last time the person worked.",[],The constructs are fundamentally different; CPS measures job count while ACS measures last work date.,CC.1,F3,CPS asks for current job count; ACS asks when person last worked. These measure different employment dimensions.,['TC.2'],CPS measures current job multiplicity while ACS measures retrospective work history timing. These are fundamentally different temporal and conceptual framings.,CC,CC
CPS_0323,CC.2,F3,"CPS asks about desire to work full-time, while ACS asks about any work for pay.",[],The constructs are incompatible; CPS measures desire for full-time work while ACS measures any work for pay.,CC.1,F3,CPS asks about work preferences/desires (full-time preference); ACS asks about actual work participation. These measure different constructs.,['CC.2'],CPS measures work preferences/intentions while ACS measures actual work behavior. These are fundamentally different dimensions: desire vs. action.,CC,CC
CPS_0324,CC.1,F3,"CPS asks about desire to work full-time, while ACS asks about actual work done last week.",[],The core concepts differ fundamentally; one is about intention while the other is about actual employment activity.,CC.1,F3,CPS measures preference/desire for full-time work (35+ hrs/week); ACS measures actual work activity in past week,['TC.2'],These questions operationalize fundamentally different constructs: CPS captures work preferences/intentions while ACS captures actual work behavior. The temporal framing also differs (habitual preference vs. point-in-time activity).,CC,CC
CPS_0325,CC.1,F3,"CPS asks about desire to work full-time, while ACS asks about being on layoff.",[],"The questions address different employment statuses, making them incompatible for consolidation.",CC.1,F3,CPS measures preference for full-time work; ACS measures layoff status (employment interruption),[],These measure entirely different employment constructs with no logical relationship. Layoff status is an employment circumstance unrelated to work hour preferences.,CC,CC
CPS_0326,CC.1,F3,"CPS asks about desire to work full-time, while ACS asks about temporary absence from a job.",[],The focus on intention versus temporary absence creates a fundamental mismatch in concepts.,CC.1,F3,CPS measures preference for full-time work; ACS measures temporary absence from job (employment continuity),[],These capture different employment dimensions. Temporary absence indicates job attachment while preference for full-time work indicates desired work intensity.,CC,CC
CPS_0327,CC.1,F3,"CPS asks about desire to work full-time, while ACS asks about the last time the person worked.",[],The questions are incompatible as they measure different aspects of employment status.,CC.1,F3,CPS measures preference for full-time work; ACS measures timing of last work activity (employment recency),['TC.2'],CPS asks about work preferences while ACS asks about employment history/recency. These are conceptually distinct with different temporal framings.,CC,CC
CPS_0328,CC.1,F3,"CPS asks for the main reason for part-time work, while ACS asks if the person worked for pay last week.",[],"The questions differ in focus; one is about reasons for part-time work, while the other is about recent work activity.",CC.1,F3,CPS measures reasons for part-time work (conditional on part-time status); ACS measures whether any paid work occurred,['PC.1'],CPS targets part-time workers and asks for causal attribution; ACS asks all respondents about work activity. Different universes and different construct types (reason vs. activity).,CC,CC
CPS_0329,CC.1,F3,"CPS asks for the main reason for part-time work, while ACS asks if the person did any work for pay last week.",[],The fundamental difference in focus on reasons versus actual work done makes consolidation impossible.,CC.1,F3,CPS measures reasons for part-time work (causal attribution); ACS measures any work activity regardless of hours,['PC.1'],CPS is conditional on part-time employment and asks for reasons; ACS is a universal work activity question. Different universes and different construct types.,CC,CC
CPS_0330,CC.1,F3,"CPS asks for the main reason for part-time work, while ACS asks if the person was on layoff.",[],The questions are incompatible as they address different employment situations.,CC.1,F3,CPS measures reasons for part-time work; ACS measures layoff status,[],These measure unrelated employment constructs. Layoff status is an employment circumstance with no logical connection to reasons for part-time work.,CC,CC
CPS_0331,CC.1,F3,"CPS asks for the main reason for part-time work, while ACS asks about temporary absence from a job.",[],The focus on reasons for part-time work versus temporary absence creates a fundamental mismatch.,CC.1,F3,CPS measures reasons for part-time work; ACS measures temporary absence from job,[],These capture different employment dimensions. Temporary absence indicates job attachment while reasons for part-time work addresses work intensity preferences/constraints.,CC,CC
CPS_0332,CC.1,F3,"CPS asks for the main reason for part-time work, while ACS asks when the person last worked.",[],The questions are incompatible as they measure different aspects of employment status.,CC.1,F3,CPS measures reasons for part-time work; ACS measures timing of last work activity,['TC.2'],CPS asks about causal reasons for current part-time status; ACS asks about employment history/recency. Different construct types and temporal framings.,CC,CC
CPS_0333,CC.1,F3,"CPS asks about reasons for not wanting to work full-time, while ACS asks if the person worked for pay last week.",[],The focus on reasons for not wanting full-time work versus actual work done creates a fundamental mismatch.,CC.1,F3,CPS measures reasons for not wanting full-time work (causal attribution); ACS measures whether any paid work occurred,['PC.1'],CPS targets those not wanting full-time work and asks for reasons; ACS is a universal work activity question. Different universes and different construct types (reason vs. activity).,CC,CC
CPS_0334,CC.1,F3,"CPS asks for reasons for not wanting to work full time, while ACS asks if any work was done.",[],"The core concepts differ fundamentally; one is about motivation for work hours, the other about actual work engagement.",CC.1,F3,CPS asks for reasons why someone does NOT want full-time work (attitudinal/preference question); ACS asks whether any work for pay occurred last week (behavioral yes/no question),"['TC.2', 'RS.1']",Fundamentally different constructs: CPS measures preferences/motivations while ACS measures actual work behavior. Different temporal framing (habitual preference vs. point-in-time behavior) and completely different response scales (open-ended reasons vs. yes/no).,CC,CC
CPS_0335,CC.1,F3,"CPS inquires about reasons for not wanting full-time work, while ACS asks about layoff status.",[],"The questions address different constructs; one focuses on personal choice, the other on employment status.",CC.1,F3,CPS asks for reasons why someone does NOT want full-time work (preference/motivation); ACS asks whether person was on layoff (employment status condition),['RS.1'],Different constructs entirely: CPS measures subjective preferences while ACS measures objective employment status. No logical connection between wanting full-time work and current layoff status.,CC,CC
CPS_0336,CC.1,F3,"CPS seeks reasons for not wanting full-time work, while ACS asks about temporary absence from work.",[],"The constructs are incompatible; one is about desire for work hours, the other about absence due to circumstances.",CC.1,F3,CPS asks for reasons why someone does NOT want full-time work (preference question); ACS asks whether person was temporarily absent from job (employment status condition),['RS.1'],Different constructs: CPS measures preferences/motivations while ACS measures temporary absence status. These address different dimensions of employment.,CC,CC
CPS_0337,CC.1,F3,"CPS asks for reasons for not wanting full-time work, while ACS asks when the person last worked.",[],"The questions are fundamentally different; one is about motivation, the other about work history.",CC.1,F3,CPS asks for reasons why someone does NOT want full-time work (preference/motivation); ACS asks when person last worked (work history timing),"['TC.2', 'RS.1']",Different constructs and temporal framings: CPS measures current preferences while ACS measures retrospective work history. Response scales are incompatible (reasons vs. time period).,CC,CC
CPS_0338,CC.1,F3,"CPS asks for reasons for absence from work, while ACS asks if any work was done.",[],"The constructs differ; one focuses on reasons for absence, the other on actual work performed.",CC.1,F3,CPS asks for reasons why someone was absent from work (explanation of absence); ACS asks whether person worked for pay last week (work occurrence yes/no),['RS.1'],"Different constructs: CPS presupposes employment and asks for absence reasons, while ACS asks about work occurrence. CPS targets employed persons with absences; ACS targets all persons.",CC,CC
CPS_0339,CC.1,F3,"CPS inquires about reasons for absence, while ACS asks if any work was done.",[],"The questions are not comparable; one is about absence reasons, the other about work engagement.",CC.1,F3,"CPS asks for reasons why someone was absent from work (explanation of absence); ACS asks whether any work for pay occurred, even minimal (work occurrence yes/no)","['PC.1', 'RS.1']",Different universes and constructs: CPS targets employed persons with absences; ACS targets all persons. CPS measures absence reasons while ACS measures work occurrence. Incompatible response scales.,CC,CC
CPS_0340,CC.1,F3,"CPS asks for reasons for absence, while ACS asks about layoff status.",[],"The constructs are incompatible; one is about reasons for absence, the other about employment status.",CC.1,F3,CPS asks for reasons why someone was absent from work (explanation of absence); ACS asks whether person was on layoff (employment status condition),"['PC.1', 'RS.1']","Different universes and constructs: CPS targets employed persons with absences; ACS asks about layoff status. Layoff is a specific employment condition, not an absence reason.",CC,CC
CPS_0341,CC.1,F3,"CPS seeks reasons for absence, while ACS asks about temporary absence.",[],"The questions differ fundamentally; one is about reasons, the other about the nature of absence.",CC.1,F2,CPS asks for reasons why someone was absent from work (explanation of absence); ACS asks whether person was temporarily absent from job (temporary absence status),['RS.1'],"Related but distinct constructs: CPS asks for reasons explaining absence while ACS asks whether temporary absence occurred. Could potentially use ACS temporary absence as one category of CPS reasons, but requires statistical mapping.",CC,CC
CPS_0342,CC.1,F3,"CPS asks for reasons for absence, while ACS asks when the person last worked.",[],"The constructs are not comparable; one focuses on reasons, the other on work history.",CC.1,F3,CPS asks for reasons why someone was absent from work (explanation of absence); ACS asks when person last worked (work history timing),"['TC.2', 'RS.1']",Different constructs and temporal framings: CPS measures absence reasons for employed persons; ACS measures retrospective work history timing. Incompatible response scales and universes.,CC,CC
CPS_0343,CC.1,F3,"CPS asks if the person could have worked full time, while ACS asks if any work was done.",[],"The questions address different constructs; one is about potential work, the other about actual work performed.",CC.2,F3,CPS asks whether person COULD have worked full time if hours available (capacity/willingness conditional); ACS asks whether person worked for pay last week (actual work behavior),['RS.1'],Different operationalizations: CPS measures hypothetical capacity/willingness while ACS measures actual work occurrence. CPS is counterfactual; ACS is factual. Incompatible response scales (yes/no conditional vs. yes/no actual).,CC,CC
CPS_0344,CC.1,F3,"CPS asks about potential full-time work availability, while ACS asks about any work done.",['TC.2'],"The core concepts differ: CPS focuses on potential work availability, whereas ACS measures actual work done, leading to fundamentally different constructs.",CC.2,F3,CPS asks about conditional capacity (could work full time IF hours available); ACS asks about actual work performed (did ANY work for pay),['CC.1'],"These measure fundamentally different constructs. CPS operationalizes employment readiness/availability as a hypothetical capacity, while ACS operationalizes employment as actual behavior. The CPS question targets underemployed persons, while ACS targets those with any paid work activity.",CC,CC
CPS_0345,CC.1,F3,"CPS inquires about potential full-time work, while ACS asks about layoff status.",['TC.2'],"The constructs are incompatible; CPS is about potential work availability, while ACS focuses on employment status related to layoffs.",CC.1,F3,CPS asks about conditional work capacity (could work full time IF hours available); ACS asks about specific employment status (on layoff),['CC.2'],These measure entirely different employment concepts. CPS measures availability/willingness under hypothetical conditions; ACS measures a specific employment status category. No logical mapping exists between these constructs.,CC,CC
CPS_0346,CC.1,F3,"CPS asks about potential work availability, while ACS inquires about temporary absence from work.",['TC.2'],"The constructs differ significantly; CPS is about potential work availability, while ACS measures absence from work, making them incompatible.",CC.1,F3,CPS asks about conditional work capacity (could work full time IF hours available); ACS asks about temporary absence status,['CC.2'],These measure different employment concepts. CPS measures underemployment/availability; ACS measures a specific employment status (temporarily absent). These are orthogonal dimensions of employment.,CC,CC
CPS_0347,CC.1,F3,"CPS asks about potential work availability, while ACS asks about the last time the person worked.",['TC.2'],"The constructs are fundamentally different; CPS focuses on potential work availability, while ACS measures past work experience.",CC.1,F3,CPS asks about conditional work capacity (could work full time IF hours available); ACS asks about timing of last work activity,['TC.2'],These measure different constructs entirely. CPS measures current availability/capacity; ACS measures historical work recency. The temporal framing differs (hypothetical vs retrospective) and the underlying concepts are distinct.,CC,CC
CPS_0348,CC.1,F3,"CPS asks about a return-to-work date, while ACS asks if the person worked for pay.",['TC.2'],"The constructs are incompatible; CPS is about future work potential, while ACS measures actual work done in the past week.",CC.1,F3,CPS asks about employer-provided return date (indicating temporary separation); ACS asks about actual work performed in reference week,"['CC.2', 'TC.2']","These measure different employment concepts. CPS targets persons on temporary layoff with recall expectations; ACS measures actual work activity. A person with a return date may not have worked last week, and vice versa.",CC,CC
CPS_0349,CC.1,F3,"CPS asks about a return-to-work date, while ACS asks if the person did any work for pay.",['TC.2'],"The constructs differ significantly; CPS focuses on potential future work, while ACS measures actual work done, making them incompatible.",CC.1,F3,CPS asks about employer-provided return date (indicating temporary separation); ACS asks about any paid work activity,['CC.2'],These measure different employment concepts. CPS identifies persons on temporary layoff with recall expectations; ACS measures actual work performed. These are distinct employment statuses with no direct correspondence.,CC,CC
CPS_0350,CC.1,F2,"CPS asks about a return-to-work date, while ACS asks about layoff status.",['TC.2'],"While related, the constructs differ; CPS focuses on future work potential, while ACS measures current employment status, requiring statistical adjustment.",CC.2,F2,CPS asks about employer-provided return date (operationalizing temporary layoff with recall); ACS asks about layoff status directly,['TC.2'],"Both target layoff status but operationalize it differently. CPS uses return date as an indicator of temporary layoff; ACS directly asks about layoff status. Statistical adjustment could map CPS return date responses to ACS layoff categories, but requires assumptions about what constitutes a layoff.",CC,CC
CPS_0351,CC.1,F3,"CPS asks about a return-to-work date, while ACS asks about temporary absence from work.",['TC.2'],"The constructs are fundamentally different; CPS is about future work potential, while ACS measures current absence, making them incompatible.",CC.1,F3,CPS asks about employer-provided return date (indicating temporary separation); ACS asks about temporary absence status,['CC.2'],"These measure different concepts. CPS targets persons on layoff with recall expectations; ACS measures temporary absence from a job. A person with a return date may not be temporarily absent, and vice versa.",CC,CC
CPS_0352,CC.1,F3,"CPS asks about a return-to-work date, while ACS asks when the person last worked.",['TC.2'],"The constructs differ significantly; CPS focuses on future work potential, while ACS measures past work experience, making them incompatible.",CC.1,F3,CPS asks about employer-provided return date (indicating temporary separation); ACS asks about timing of last work activity,['TC.2'],These measure different constructs. CPS targets persons on temporary layoff; ACS measures work recency. These are orthogonal dimensions of employment history and status.,CC,CC
CPS_0353,CC.1,F3,"CPS asks about indications of recall to work, while ACS asks if the person worked for pay.",['TC.2'],"The constructs are fundamentally different; CPS focuses on potential future recall, while ACS measures actual work done, making them incompatible.",CC.1,F3,CPS asks about future recall indication within 6 months (prospective expectation); ACS asks about actual work performed last week (retrospective behavior),"['TC.1', 'TC.2']",These measure fundamentally different constructs with different temporal orientations. CPS measures future employment expectations/prospects; ACS measures past work activity. No direct mapping exists between these concepts.,CC,CC
CPS_0354,TC.1,F3,"CPS asks about future recall to work, while ACS asks about work done in the last week.",['CC.1'],"The primary issue is the temporal reference; CPS is focused on future potential recall, whereas ACS is concerned with past work activity.",CC.1,F3,"CPS asks about future recall expectation (prospective, conditional); ACS asks about actual work performed last week (retrospective, behavioral)",['TC.2'],"These measure fundamentally different constructs: CPS captures employer indication of future recall (expectation/intention), while ACS captures actual work behavior. The temporal framing is also different (prospective vs. retrospective).",TC,CC
CPS_0355,TC.1,F3,"CPS inquires about future recall to work, while ACS asks if the person was on layoff last week.",['CC.1'],"The temporal focus is incompatible; CPS is about future expectations, while ACS is about past status.",CC.1,F3,CPS asks about future recall expectation; ACS asks about current layoff status (actual employment state),['TC.2'],"CPS measures prospective employer communication about potential recall; ACS measures current employment status. These are related but distinct constructs—one is forward-looking expectation, the other is current state.",TC,CC
CPS_0356,TC.1,F3,"CPS asks about future recall to work, while ACS asks about temporary absence from work last week.",['CC.1'],"The questions differ fundamentally in their temporal focus, with CPS looking forward and ACS looking backward.",CC.1,F3,CPS asks about future recall expectation; ACS asks about temporary absence from current job,['TC.2'],CPS measures prospective recall indication; ACS measures current temporary absence status. These address different employment situations and temporal orientations.,TC,CC
CPS_0357,TC.1,F3,"CPS asks about future recall to work, while ACS asks when the person last worked.",['CC.1'],"The temporal framing is incompatible; CPS is about future potential, while ACS is about past activity.",CC.2,F3,"CPS asks about future recall expectation (prospective); ACS asks about timing of last work (retrospective, open-ended temporal reference)",['TC.2'],CPS operationalizes employment continuity through employer recall indication; ACS operationalizes it through recency of work. These are fundamentally different behavioral indicators.,TC,CC
CPS_0358,TC.1,F3,"CPS asks if the person could have returned to work if recalled, while ACS asks if they worked for pay last week.",['CC.1'],"The questions are incompatible due to their different temporal focuses; CPS is hypothetical about future recall, while ACS is factual about past work.",CC.1,F3,"CPS asks about ability to return if recalled (conditional, hypothetical); ACS asks about actual work performed (behavioral fact)",['TC.2'],"CPS measures capacity/willingness to return to work under a hypothetical condition; ACS measures actual work behavior. These are different constructs—one is conditional capacity, the other is actual behavior.",TC,CC
CPS_0359,TC.1,F3,"CPS asks about potential return to work if recalled, while ACS asks if the person did any work last week.",['CC.1'],"The temporal mismatch makes these questions fundamentally incompatible; CPS is about future possibilities, while ACS is about past actions.",CC.1,F3,"CPS asks about ability to return if recalled (conditional, hypothetical); ACS asks about any work performed (actual behavior, inclusive threshold)",['TC.2'],CPS measures conditional capacity to return; ACS measures actual work behavior including minimal hours. These operationalize employment differently.,TC,CC
