pair_id,foodaps_q_id,foodaps_text,acs_q_id,acs_text,subtopic,claude_classification,claude_confidence,claude_reasoning,claude_consolidation_potential,claude_reference_period_a,claude_reference_period_b,gpt_classification,gpt_confidence,gpt_reasoning,gpt_consolidation_potential,gpt_reference_period_a,gpt_reference_period_b,models_agree
P_0041,FAPS_0047,Is NAME male or female?,ACS_0022,What is Person 1’s sex?,Sex,exact_duplicate,high,Both questions ask for the same demographic characteristic (sex/gender) with virtually identical meaning and no specified time reference. The only difference is minor wording variation: FoodAPS uses the phrasing 'Is NAME male or female?' while ACS uses 'What is Person 1's sex?' These variations are stylistic and do not substantively change the question's intent or expected response options.,yes,not specified,not specified,exact_duplicate,high,"Both questions elicit the respondent’s sex using the same binary framing (male/female). The wording differs only in formality and referent labeling (a named person vs. ""Person 1""), but there is no change in concept, time frame, or implied response format. Thus they are effectively identical in intent and use.",yes,not specified,not specified,True
P_0042,FAPS_0047,Is NAME male or female?,ACS_0028,What is Person 2’s sex?,Sex,exact_duplicate,high,Both questions ask for the same demographic characteristic (sex/gender) about a named household member with identical response options (male/female). The only difference is minor wording variation: Question A uses the colloquial phrasing 'Is NAME male or female?' while Question B uses the more formal 'What is Person 2's sex?' These stylistic differences do not meaningfully alter the concept being measured or how respondents would interpret the question.,yes,not specified,not specified,exact_duplicate,high,"Both questions ask for the sex of a specific person (male or female) with no difference in time frame or response format. The only difference is wording/labeling (NAME vs Person 2), which does not change the concept being measured. Neither question asks about gender identity or any other attribute.",yes,not specified,not specified,True
P_0043,FAPS_0047,Is NAME male or female?,ACS_0034,What is Person 3’s sex?,Sex,exact_duplicate,high,"Both questions ask for the same demographic characteristic (sex/gender) about a named individual with no specified time reference. The wording differs slightly (""Is NAME male or female?"" vs ""What is Person 3's sex?""), but both use standard binary sex categories and are asking for current/static demographic information rather than time-bounded data. The minor phrasing variations are typical stylistic differences between surveys and do not affect the substantive meaning or response format.",yes,not specified,not specified,exact_duplicate,high,"Both questions elicit the respondent’s sex using equivalent binary wording (male/female), differing only in superficial phrasing (using a name vs. identifying as “Person 3”). They ask the same attribute with the same implied response format and contain no time reference, so their meaning and use are effectively identical.",yes,not specified,not specified,True
P_0044,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0024,"Is Person 1 of Hispanic, Latino, or Spanish origin?",Race,related_but_distinct,high,"Question A asks for race and/or ethnicity with multiple selection allowed, while Question B asks specifically about Hispanic/Latino/Spanish origin as a binary yes/no question. Question B captures only one dimension of ethnicity, whereas Question A attempts to collect comprehensive race and ethnicity information. These questions serve different purposes: Question A seeks complete racial/ethnic identification, while Question B is a screener question for Hispanic origin specifically (typically followed by separate race questions in the ACS).",no,not specified,not specified,related_but_distinct,high,"Question A asks for a respondent’s race and/or ethnicity with a multi-select format (covers multiple racial categories and ethnicity together), whereas Question B asks only about Hispanic/Latino/Spanish origin as a single yes/no ethnicity question. The scope and response formats differ: A captures race plus ethnicity in a selectable list, B captures only Hispanic origin as a binary, so they are related (both about demographic background) but ask different specific information.",no,not specified,not specified,True
P_0045,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0025,What is Person 1’s race?,Race,response_format_mismatch,high,"Both questions ask about the same core concept (respondent's race/ethnicity), but they differ significantly in response format. Question A explicitly allows multiple selections (""Select all that apply""), while Question B uses singular phrasing (""What is Person 1's race?"") implying a single categorical response. This format difference affects how multiracial respondents can answer and would produce non-equivalent data structures.",partial,not specified,not specified,related_but_distinct,high,"Question A explicitly asks for ""race and/or ethnicity"" and instructs respondents to ""Select all that apply,"" combining two constructs and allowing multiple selections. Question B, as presented, asks only about race (no mention of ethnicity) and does not include the explicit multi-select instruction, so the scope and response format differ in ways that affect comparability.",partial,not specified,not specified,False
P_0046,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0030,"Is Person 2 of Hispanic, Latino, or Spanish origin?",Race,response_format_mismatch,high,"Both questions address race/ethnicity but with fundamentally different response formats. Question A asks about race AND ethnicity with a 'select all that apply' format allowing multiple responses, while Question B isolates only Hispanic/Latino/Spanish origin with a yes/no format. Question A captures comprehensive racial/ethnic identity while Question B is a single-topic screener question that typically precedes detailed race categories in the ACS.",partial,not specified,not specified,related_but_distinct,high,"Question A asks for a respondent’s race and/or ethnicity with select-all-that-apply (a combined, multi-category item), whereas Question B asks only whether the person is of Hispanic/Latino/Spanish origin as a yes/no question. B captures a single ethnicity dimension (and is a subset of the ethnicity information in A) and uses a different, binary response format, so they are related but ask different specific information.",no,not specified,not specified,False
P_0047,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0031,What is Person 2’s race?,Race,response_format_mismatch,high,"Both questions ask about the same core concept (race/ethnicity), but differ significantly in response format. Question A explicitly allows multiple selections (""select all that apply""), capturing multiracial/multiethnic respondents, while Question B appears to request a single response (""What is Person 2's race?""). This difference in response format means they would produce different data structures and potentially different reported values for the same individual.",partial,not specified,not specified,related_but_distinct,medium,"Question A asks about ""race and/or ethnicity"" and explicitly allows multiple selections, combining two constructs (race and ethnicity) in one item. Question B asks only about race for a labeled household member (""Person 2"") and does not mention ethnicity; this is a substantive difference in what is being measured rather than a trivial wording change. The questions are on the same topic but ask different specific things.",partial,not specified,not specified,False
P_0048,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0036,"Is Person 3 of Hispanic, Latino, or Spanish origin?",Race,related_but_distinct,high,"Both questions address race/ethnicity but ask fundamentally different things. Question A requests all applicable race and/or ethnicity categories using a 'select all that apply' format, capturing the full racial/ethnic identity profile. Question B is a single, specific question about Hispanic/Latino/Spanish origin only, designed as a screening question rather than a comprehensive race/ethnicity inventory. The ACS question is typically followed by separate race questions, making it a component of a multi-part race/ethnicity assessment rather than an equivalent to FoodAPS's consolidated approach.",partial,not specified,not specified,related_but_distinct,high,"Question A asks a combined race and/or ethnicity item with a select-all-that-apply format, capturing multiple racial and ethnic identities. Question B asks only about Hispanic/Latino/Spanish origin as a yes/no item (a single-ethnicity probe). The scope and response formats differ, so they are related (both about race/ethnicity) but ask distinct things.",no,not specified,not specified,True
P_0049,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0037,What is Person 3’s race?,Race,response_format_mismatch,high,"Both questions ask about the same core concept (race/ethnicity) for a specific person, but they differ fundamentally in response format. Question A explicitly states 'Select all that apply,' allowing multiple race/ethnicity selections, while Question B uses singular 'What is Person 3's race?' implying a single-response format. This format difference affects data comparability since FoodAPS captures multiracial/multiethnic respondents differently than ACS's single-race structure.",partial,not specified,not specified,related_but_distinct,medium,"Question A asks about ""race and/or ethnicity"" and explicitly allows selecting all that apply, combining two constructs and a multi-select response format. Question B asks only about ""race"" for a labeled person (Person 3) and does not mention ethnicity or the response format; ACS typically treats Hispanic origin as a separate question. These differences make them related by topic (demographic race/ethnicity) but not equivalent.",partial,not specified,not specified,False
P_0050,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0094,What is this person’s marital status?,Marital,near_duplicate,high,"Both questions ask about marital status as a core concept. Question A explicitly uses 'currently' and provides specific response categories (married, widowed, divorced, separated, never married), while Question B uses open-ended phrasing without specifying a time reference. The ACS question typically uses the same response categories as FoodAPS, making them functionally equivalent despite minor wording differences. The explicit 'currently' in Question A adds slight clarity but doesn't substantively change the meaning.",yes,currently,not specified,exact_duplicate,high,"Both questions solicit the respondent's current marital status using the same categorical distinctions (married, widowed, divorced, separated, never married). Question A explicitly states ""currently,"" while Question B omits an explicit time frame but is conventionally asking for current status; this wording difference does not change meaning or response format.",yes,currently,not specified,False
P_0051,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0095,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital,related_but_distinct,high,"Question A asks for current marital status (a state at the time of survey), while Question B asks about marital events that occurred in the past 12 months. These measure different concepts: Question A captures a snapshot of marital status, whereas Question B captures marital transitions/events. Someone could be currently married (Question A) but have gotten married more than 12 months ago (not captured by Question B), or divorced in the past 12 months but currently divorced (both would answer yes to B but differently to A depending on timing).",partial,current status (not specified),past 12 months,related_but_distinct,high,"Question A asks for current marital status as a single categorical response (married, widowed, divorced, separated, never married). Question B asks about marital transition events that occurred in the past 12 months with separate yes/no items (married, widowed, divorced). These are related (marital topic) but ask different constructs (current status vs recent events) and have different response formats.",no,currently,past 12 months,True
P_0052,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0096,How many times has this person been married?,Marital,response_format_mismatch,high,"Both questions address marital status but operationalize it differently. Question A asks for current marital status category (married, widowed, divorced, separated, never married), while Question B asks for the count of times married across a person's lifetime. Question A cannot be derived from Question B without additional information about marital transitions, and vice versa—knowing someone has been married twice tells you nothing about their current status.",no,current/present,lifetime,related_but_distinct,high,"Question A asks about the respondent’s current marital status using categorical options (married, widowed, divorced, separated, never married). Question B asks for a lifetime count of marriages (numeric), which is a different construct. The two are related by topic but cannot substitute for each other because a count of marriages does not indicate current status and current status does not reveal number of past marriages.",no,current,lifetime,False
P_0053,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0097,In what year did this person last get married?,Marital,related_but_distinct,high,"Question A asks for current marital status (categorical: married, widowed, divorced, separated, or never married), while Question B asks for the year of the last marriage, which is a continuous data point. These capture different information—one is a state snapshot and the other is a historical event. Someone currently divorced would answer 'divorced' on Question A but might report a marriage year from 20 years ago on Question B, making them complementary rather than equivalent.",partial,current/present,lifetime/at any point,related_but_distinct,high,"Question A asks current marital status using categorical response options (married, widowed, divorced, separated, never married). Question B asks for the year the person last got married (a historical/factual event), which does not directly indicate current status or provide comparable categorical responses. The items are on the same topic (marital) but measure distinct constructs and are not interchangeable.",no,current,year of last marriage,True
P_0054,FAPS_0051,Is NAME’s spouse a member of this household?,ACS_0021,How is this person related to Person 1?,Relationship,related_but_distinct,high,"Question A targets a specific relationship (spouse membership in household) using a yes/no format, while Question B uses an open-ended relationship classification approach that captures all relationship types to a reference person. Question A is narrower in scope and asks about household membership status, whereas Question B asks about relationship type more broadly. While both relate to household relationships, they serve different purposes: A screens for spouse presence, B categorizes all relationships.",partial,not specified,not specified,response_format_mismatch,high,"Both questions aim to identify a spouse in the household, but Question A asks a direct yes/no about whether NAME’s spouse is a household member, while Question B elicits a relationship category for each person (which can indicate spouse). The difference is in response format and scope: A targets a specific relationship with a binary answer, B is broader (asks relationship to Person 1) and requires coding to infer spouse status.",yes,not specified,not specified,False
P_0055,FAPS_0051,Is NAME’s spouse a member of this household?,ACS_0027,How is this person related to Person 1?,Relationship,related_but_distinct,high,"Both questions address household relationships, but they operate at different levels of specificity. Question A is a yes/no screener asking specifically about spousal status for a named individual, while Question B uses a categorical open-ended approach asking how any person relates to the reference person (Person 1). Question A assumes a spouse exists and confirms membership; Question B identifies the relationship type among all household members including spouse, parent, child, etc.",partial,not specified,not specified,response_format_mismatch,high,"Question A is a yes/no item asking whether NAME’s spouse is a member of the household (presence of spouse). Question B is a categorical relationship question asking how a listed person relates to Person 1 (which can include a 'spouse' category). The core concept (identifying a spouse among household members) is the same, but the response formats and the direction of questioning differ (binary presence vs. per-person relationship category).",yes,not specified,not specified,False
P_0056,FAPS_0051,Is NAME’s spouse a member of this household?,ACS_0033,How is this person related to Person 1?,Relationship,related_but_distinct,high,"Question A specifically asks about spouse membership in the household, using a yes/no format targeted at one named individual's marital/household relationship. Question B asks for the relationship of any person to Person 1 using a categorical response format that could include spouse but also parent, child, sibling, etc. While spouse identification overlaps, Question B captures broader relationship categories and is not spouse-specific, making them distinct in scope and intent despite both addressing household relationships.",partial,not specified,not specified,response_format_mismatch,high,"Question A is a binary yes/no about whether a named person's spouse is a member of the household. Question B asks for a categorical relationship of a person to Person 1 (e.g., spouse, child), which can identify spouse status but uses a different response format and a different referent (Person 1 vs NAME). Because B is a relationship category question rather than an explicit spouse-membership yes/no, they are not identical despite overlapping content.",partial,not specified,not specified,False
P_0057,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,not_comparable,high,"Question A asks for the reason a child will not attend school during a specific future period (this week and next week), while Question B asks for basic demographic information about age/date of birth with no time reference. These are fundamentally different questions: one is about school attendance reasons (a behavioral/status variable), the other is about age identification (a demographic characteristic). While both relate to the broad topic of age, they serve completely different purposes and cannot substitute for one another.",no,this week and next week,not specified,not_comparable,high,"Question A asks for the reason a named child will not attend school during a specific short period (this week and next week). Question B asks for a person's age and date of birth, which is a demographic attribute and does not elicit attendance status or reasons. The two address different constructs (school attendance reason vs. age/DOB) and are not comparable.",no,this week and next week,not specified,True
P_0058,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,not_comparable,high,"Question A asks about reasons for school non-attendance during a specific two-week period, while Question B collects basic demographic information (age/date of birth) with no time reference. These serve entirely different purposes: A is behavioral/situational while B is identifying information. They are fundamentally measuring different constructs.",no,this week and next week,not specified,related_but_distinct,high,"Question A asks for the reason a named child will not attend school during a specific short reference period and provides categorical response options (including 'Not old enough'), while Question B requests factual demographic measures (age and date of birth). They address different constructs and response formats: A elicits a reason for non-attendance over a defined period, B elicits current/biographical age information.",partial,this week and next week,not specified,False
P_0059,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,not_comparable,high,"These questions address fundamentally different concepts. Question A asks about reasons for school non-attendance during a specific two-week period, while Question B asks for basic demographic information (age and date of birth). Although both questions may involve age-related data, Question A is behavioral/administrative (school attendance reasons) while Question B is purely demographic collection. They cannot be consolidated as they serve entirely different purposes.",no,this week and next week,not specified,related_but_distinct,high,"Question A asks for the reason a named person will not attend school over a specific near-term period (this week and next week) and provides categorical response options about attendance status. Question B asks for age and date of birth (demographic facts) with no attendance or short-term timeframe; age may be related but does not capture attendance reasons like summer break, homeschooling, disability, or enrollment status. Because they measure different specific constructs (attendance reason vs. age/dob), they are related but distinct.",partial,this week and next week,not specified,False
P_0060,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0072,Where was this person born?,Age,not_comparable,high,"Question A asks about reasons for school non-attendance in a specific future time period, while Question B asks about birthplace, which is a fixed biographical characteristic. These are entirely different concepts—one addresses school enrollment status/barriers and the other addresses geographic origin. The 'Age' subtopic label appears to be a labeling error, as neither question directly measures age, though Question A implies school-age population.",no,this week and next week,not specified,not_comparable,high,"Question A asks for the reason a person will not attend school during a specific two‑week period (this week and next week) and lists attendance-related categories. Question B asks where the person was born (place of birth/nativity) with no time reference. The two items measure entirely different constructs (school attendance status/reason vs birthplace), so they are not comparable.",no,this week and next week,not specified,True
P_0061,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,not_comparable,high,"These questions address entirely different concepts despite both relating to age. Question A asks about reasons a specific child will not attend school in a defined future period, while Question B asks whether a respondent has grandchildren under 18 currently living in the household. One concerns school attendance barriers, the other concerns household composition and intergenerational relationships.",no,this week and next week,not specified (current household composition),related_but_distinct,high,"Question A asks why a named person will not attend school during a specific short future period (this week and next week) and provides multiple categorical reasons related to schooling status. Question B asks whether the person has any own grandchildren under 18 currently living in the household (a yes/no household composition question). They touch on age-related concepts but measure different subjects (school attendance status vs presence of grandchildren) and different information, so they are related but distinct.",no,this week and next week,current (living in this house or apartment),False
P_0062,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,not_comparable,high,"These questions address entirely different concepts: Question A asks about reasons for school non-attendance (educational participation/barriers), while Question B asks about grandparent caregiving responsibility (family structure/household relationships). The subtopic label 'Age' is misleading—Question A uses age as a response category for non-attendance, while Question B uses age as a filter criterion. Despite both involving children, they measure fundamentally different dimensions.",no,this week and next week,currently,related_but_distinct,high,"Question A asks, for a specific named child, the reason the child will not attend school during a defined two-week period (options about enrollment/age/attendance). Question B asks whether a grandparent is currently the primary caregiver for any grandchildren under 18 living in the household. They address different units (child attendance status vs grandparent caregiving), different constructs, and different response formats, so they are related by age/children topic but measure distinct concepts.",no,this week and next week,currently,False
P_0063,FAPS_0075,Have you received benefits from the Supplemental Nutrition Assistance Program in the past 30 days? This program is also known as [FILL IN STATE SNAP NAME] or food stamps and it puts money on an EBT card that you can use to buy food.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,"Both questions ask about the same program (SNAP/Food Stamps) with identical core concept and yes/no response format. However, they differ significantly in their time frames: Question A asks about the past 30 days while Question B asks about the past 12 months. This temporal difference means they capture different populations—Question A identifies current recipients while Question B identifies anyone who received benefits at any point during the year, making them non-equivalent measures.",no,past 30 days,past 12 months,reference_period_mismatch,high,"Both questions ask about receipt of SNAP/food stamp benefits, so the core concept is the same, but they use different reference periods (30 days vs 12 months). Additionally, Question A asks about the respondent personally while Question B asks about the respondent or any household member, which further changes the scope of inference. These differences prevent treating them as duplicates despite asking about the same program.",no,past 30 days,past 12 months,True
P_0064,FAPS_0076,Has anyone at this address received benefits from the Supplemental Nutrition Assistance Program in the past 30 days? This program is also known as [FILL IN STATE SNAP NAME] or food stamps and it puts money on an EBT card that you can use to buy food.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,"Both questions ask about the same core concept—SNAP/Food Stamp receipt by household members—but with substantially different reference periods (30 days vs. 12 months). This temporal difference means the questions measure different things: Question A captures recent current/ongoing benefit use, while Question B captures any receipt during a longer window. The wording and response formats are otherwise equivalent, but the reference period mismatch prevents them from being treated as duplicates.",partial,past 30 days,past 12 months,reference_period_mismatch,high,"Both questions ask about receipt of SNAP/Food Stamp benefits (yes/no) and are otherwise comparable in wording, but they use different reference periods (30 days vs 12 months). There are minor scope wording differences (""anyone at this address"" vs ""you or any member of this household"") and A includes explanatory text about EBT/state name, but the primary incompatibility is the time-frame difference which changes prevalence estimates. ",no,past 30 days,past 12 months,True
P_0065,FAPS_0077,How many [FILL IN STATE SNAP NAME] EBT cards are issued to people at this address ?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,"While both questions address SNAP participation, they measure fundamentally different things. Question A asks about the number of active EBT cards currently issued at an address (a point-in-time count of administrative records), whereas Question B asks about receipt of SNAP benefits during a 12-month recall period (a household-level participation indicator). Question A's focus on card count rather than participation status, combined with its lack of time reference, makes it distinct from the behavioral/receipt question in B.",partial,not specified,past 12 months,related_but_distinct,high,"Question A asks for the number of EBT cards issued to people at the address (a current/count measure, household-address unit) while Question B asks a yes/no about any household member receiving SNAP/Food Stamp benefits in the past 12 months (a retrospective receipt indicator). They differ in objective (card count vs receipt indicator), response format (numeric count vs binary), and A has no explicit reference period, so they are related by topic but ask different specific things.",no,not specified,past 12 months,True
P_0066,FAPS_0078,You said there is one [FILL IN STATE SNAP NAME] card in this household. Now we will ask about who in the household is assigned to the EBT card. Select the names of the people below that receive [FILL SNAP] benefits together under that EBT card,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,"Both questions address SNAP receipt but ask fundamentally different things. Question A assumes SNAP receipt is already confirmed and asks which household members are assigned to a specific EBT card, requiring identification of individuals on that card. Question B is a basic screener asking whether anyone in the household received SNAP benefits in the past 12 months with a yes/no format. Question A is a follow-up/roster question dependent on prior SNAP confirmation, while Question B is an eligibility/receipt question. They serve different survey purposes and cannot substitute for each other.",no,not specified,past 12 months,related_but_distinct,high,"Question A asks which specific household members are assigned to and receive benefits under a particular EBT card (a person-level, card-assignment question, with no explicit time frame). Question B is a household-level yes/no about any receipt of SNAP/Food Stamps in the past 12 months. They address the same program but ask different things (who is on a card vs whether anyone received benefits during a specific period).",no,not specified,past 12 months,True
P_0067,FAPS_0079,You said there are two [FILL IN STATE SNAP NAME] cards in this household. Now we will ask about who in the household is assigned to the two EBT cards. Select the names of the people below that receive [FILL SNAP] benefits together under those two EBT cards.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,"Both questions address SNAP receipt but measure fundamentally different constructs. Question A asks respondents to identify which specific household members are assigned to particular EBT cards (administrative assignment), while Question B asks whether anyone received SNAP benefits in the past 12 months (benefit receipt status). Question A presupposes existing EBT cards and focuses on card-to-person matching, whereas Question B is a simple yes/no screener for any household SNAP participation.",no,not specified,past 12 months,related_but_distinct,high,"Question A asks, at the person level, which household members are assigned to two specific EBT cards (identifying who receives benefits under those cards) and does not specify a time frame. Question B is a household-level yes/no about whether anyone received SNAP benefits in the past 12 months. The unit of analysis (identifying named recipients vs a household-level receipt indicator), response format, and explicit reference period differ, so they are related by topic but ask different things.",no,not specified,past 12 months,True
P_0068,FAPS_0080,You said there are three or more [FILL IN STATE SNAP NAME] cards in this household. Now we will ask about who in the household is assigned to the first three EBT cards. Select the names of the people below that receive [FILL SNAP] benefits together under the first three EBT cards.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,"While both questions address SNAP benefits, they serve fundamentally different purposes. Question B asks a basic yes/no screening question about household SNAP receipt (eligibility/participation), whereas Question A presumes SNAP participation and seeks to identify specific individuals assigned to particular EBT cards (administrative roster details). Question A is an operational/administrative follow-up that only applies when Question B's condition is met, making them sequential rather than equivalent measures.",no,not specified,past 12 months,related_but_distinct,high,"Question A asks, at the person level, which household members are assigned to specific EBT cards (a current/assignment mapping) and uses a name-selection response format. Question B is a household-level yes/no about any receipt of SNAP/Food Stamps in the past 12 months. They address the same topical domain but ask different specific information and use different response formats and time framing.",no,not specified,past 12 months,True
P_0069,FAPS_0081,On what date did [you/you and names of SNAP group 1 from B1ba ] last receive [FILL IN STATE SNAP NAME] benefits?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,"While both questions address SNAP receipt, they measure fundamentally different things. Question A asks for the specific date of the most recent benefit receipt (a point-in-time factual detail), whereas Question B asks whether any receipt occurred within a 12-month period (a yes/no prevalence measure). Question A could identify someone who received benefits years ago, while Question B specifically bounds the timeframe to the past year. These serve different analytical purposes and cannot be directly substituted.",no,"last receipt of benefits (point-in-time, unspecified how far back)",past 12 months,response_format_mismatch,high,"Both ask about receipt of SNAP/Food Stamp benefits, but Question A requests a specific calendar date of last receipt (a date response) while Question B is a yes/no about any receipt within the past 12 months (a bounded reference period). The difference in response format (date vs binary) and the explicit 12-month window in B mean they are not directly equivalent for analysis or prevalence estimates.",no,not specified (asks for the date of last receipt),past 12 months,False
P_0070,FAPS_0082,How many dollars were put on your EBT card the last time you received [FILL IN STATE SNAP NAME] benefits?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,"Both questions address SNAP participation but ask fundamentally different things: Question A asks for a specific dollar amount from a particular benefit deposit (a detailed transaction-level question), while Question B asks only whether any SNAP benefits were received at all during a 12-month period (a yes/no eligibility question). Question A cannot serve as a replacement for Question B because someone who received SNAP could refuse or be unable to recall the specific dollar amount, and the questions target different data needs (benefit amount vs. program participation).",no,"last time benefits were received (specific transaction, timing unspecified)",past 12 months,related_but_distinct,high,"Question A asks for a dollar amount loaded to an individual’s EBT card at the last issuance (an amount and event-level question), while Question B is a household-level yes/no about any receipt of SNAP in the past 12 months. They differ in unit (individual/event vs household), response format (dollar amount vs yes/no), and explicit reference period.",no,last time you received benefits,past 12 months,True
P_0071,FAPS_0084,[Have you/Has anyone at this address] ever received benefits from SNAP?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,"Both questions ask about SNAP receipt using identical response formats (yes/no), but they differ fundamentally in their time reference. Question A asks about ever receiving SNAP benefits (lifetime), while Question B asks specifically about receipt in the past 12 months. This temporal difference means they measure different populations and concepts—Question A would include anyone who ever received benefits, while Question B measures current/recent participation.",no,ever (lifetime),past 12 months,reference_period_mismatch,high,"Question A asks whether anyone has ever received SNAP benefits (a lifetime/ever reference), while Question B asks specifically about receipt in the past 12 months. The core concept (receipt of SNAP/Food Stamp benefits) is the same, but the differing reference periods make the measures non-equivalent for prevalence over time.",no,ever (lifetime),past 12 months,True
P_0072,FAPS_0085,Did (you/anyone at this address) receive benefits from SNAP in the last 12 months?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,exact_duplicate,high,"Both questions ask about SNAP benefit receipt during an identical 12-month reference period with identical response format (yes/no). Question B provides slightly more explicit language by naming both 'Food Stamp Program' and 'SNAP,' but this is additive clarity rather than a substantive difference. The core concept, time frame, and expected response pattern are functionally equivalent.",yes,last 12 months,past 12 months,exact_duplicate,high,"Both questions ask whether the respondent or any household member/anyone at the address received SNAP/Food Stamp benefits in the same 12-month reference period and imply the same yes/no response format. Wording differs only minimally (""anyone at this address"" vs. ""any member of this household"" and explicit expansion of SNAP in ACS), without changing meaning or scope. ",yes,last 12 months,past 12 months,True
P_0073,FAPS_0086,Select the names of the people below that received benefits from SNAP during the last 12 months.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,near_duplicate,high,"Both questions ask about SNAP receipt over an identical 12-month reference period and measure the same concept. The primary difference is that Question A asks respondents to identify specific household members who received benefits (list format), while Question B uses a yes/no household-level format. This structural difference in response collection does not meaningfully alter the underlying concept being measured, as both ultimately capture SNAP participation in the same timeframe.",partial,last 12 months,past 12 months,response_format_mismatch,high,"Both questions ask about SNAP receipt over the same 12-month reference period and the same benefit concept, but Q A elicits person-level identification (select which people) while Q B elicits a household-level yes/no about any member. Because Q B does not identify which household members received benefits, the response formats and units of analysis differ.",no,last 12 months,past 12 months,False
