pair_id,foodaps_q_id,foodaps_text,acs_q_id,acs_text,subtopic,classification,confidence,reference_period_foodaps,reference_period_acs,reasoning,consolidation_potential
P_0084,FAPS_0116,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_0097,In what year did this person last get married?,Marital,not_comparable,high,current/typical,retrospective,"Question A asks about store trip out-of-pocket costs, while Question B inquires about the year of last marriage - completely different survey items with no substantive overlap",no
P_0085,FAPS_0304,"On what date did you last receive benefits from SNAP? This program used to be called food stamps and, in your state, it is called [FILL IN STATE SNAP NAME]. It puts money on a SNAP EBT card that you can use to buy food",ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,last receipt date,past 12 months,"Question A seeks a specific date of last SNAP receipt, while Question B asks about receipt within a 12-month period; different temporal scopes prevent direct equivalence",partial
P_0086,FAPS_0305,How many dollars were put on your SNAP EBT card the last time you received SNAP benefits?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,last time received benefits,past 12 months,"Question A asks about specific dollar amount of last SNAP benefit receipt, while Question B asks about binary SNAP benefit receipt in prior year; different information captured despite same program topic",partial
P_0087,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,not_comparable,high,current/ongoing,at specific point in time,"Question A is about tracking children's food consumption, while Question B is about collecting specific demographic data about a person's age and birth date. Both touch on age, but are fundamentally different survey objectives.",no
P_0088,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,not_comparable,high,unspecified,unspecified,"Question A is about tracking food/drink for children, while Question B asks for specific demographic age/birth date information. Although both touch on the topic of age, they are fundamentally different survey questions with distinct purposes and contexts.",no
P_0089,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,not_comparable,high,,,"Question A is about tracking children's food consumption, while Question B is requesting specific demographic details about an individual's age and birthdate. Though both touch on age, they serve fundamentally different survey purposes and collect different types of information.",no
P_0090,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0072,Where was this person born?,Age,not_comparable,high,,,"Question A pertains to tracking children's food consumption, while Question B inquires about a person's place of birth - these are fundamentally different survey topics with no substantive overlap",no
P_0091,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,not_comparable,high,current/ongoing,current/snapshot,"Question A relates to tracking children's food in a household, while Question B inquires about grandchildren living in the household. While both involve children and households, they address fundamentally different information about children's status and presence.",no
P_0092,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,related_but_distinct,high,unspecified/current,current,"Both questions involve children/minors under 18, but Question A focuses on tracking food for children in household, while Question B inquires about grandparental responsibility for basic needs of grandchildren",no
P_0093,FAPS_0323,Record the foods and drinks that children age 13 and under in your household got?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,not_comparable,high,current/ongoing,specific point in time,"Question A is about recording food consumption for children, while Question B is about capturing an individual's specific age and birthdate. Although they both touch on age, they serve fundamentally different survey purposes and capture different types of information.",no
P_0094,FAPS_0323,Record the foods and drinks that children age 13 and under in your household got?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,not_comparable,high,unspecified,current/point-in-time,"Question A is about recording children's food intake, while Question B is specifically asking about a specific person's precise age and birth date. Though they both involve age, they are fundamentally different survey objectives.",no
P_0095,FAPS_0323,Record the foods and drinks that children age 13 and under in your household got?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,not_comparable,high,unspecified current/recent period,current moment/point in time,"Question A is about food consumption for children, while Question B is specifically about a person's age and birth date. Different survey purposes, different data collection aims.",no
P_0096,FAPS_0323,Record the foods and drinks that children age 13 and under in your household got?,ACS_0072,Where was this person born?,Age,not_comparable,high,current/ongoing,lifetime,"Question A is about recording children's food intake, while Question B is about birthplace - completely different survey topics with no meaningful overlap",no
P_0097,FAPS_0323,Record the foods and drinks that children age 13 and under in your household got?,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,related_but_distinct,high,current/recent,current/recent,"Question A relates to children's food intake within a household, while Question B inquires about grandchildren living arrangement. Both involve children/ages but measure fundamentally different demographic attributes.",no
P_0098,FAPS_0323,Record the foods and drinks that children age 13 and under in your household got?,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,related_but_distinct,high,current/immediate,current/immediate,"Question A focuses on food consumption/recording for children, while Question B examines grandparental care responsibility. Although both involve children under 18, their core informational goals are different",no
P_0099,FAPS_0341,"[Do you/Does your household] shop for food depending on when you receive income or food assistance benefits (WIC, [Insert State SNAP Name], etc.)?",ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,unspecified/current,past 12 months,"Both questions address SNAP benefit receipt, but with different temporal scopes. Question A lacks a clear time reference, while Question B explicitly specifies a 12-month retrospective period. Core concept is the same (SNAP benefit experience) but the time frame differs.",partial
P_0100,FAPS_0342,Did [you/your household] receive any benefits from [State SNAP name] during the [insert number of day fill] day Food Log period?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,Food Log period (specific # of days),Past 12 months,"Both questions ask about SNAP benefit receipt, but differ significantly in time frame. A focuses on a short, specific recent period while B covers a full year. This temporal difference affects potential response accuracy.",partial
P_0101,FAPS_0343,[If Yes to D2] On what date did [you/your household] last receive benefits from [State SNAP name]?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,most recent date of receipt,past 12 months,"Question A asks for the specific last date of SNAP receipt, while Question B queries receipt within a broader 12-month timeframe. Both cover SNAP benefits, but capture timing differently.",partial
P_0102,FAPS_0344,If Yes to D2] How much did [you/your household] receive from [State SNAP name] during the [insert number of day fill] day Food Log period?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,"Food Log period (likely shorter, specific)",Past 12 months,"Both questions target SNAP benefits receipt, but differ significantly in time frame. Question A asks about benefits during a specific recent food log period, while Question B asks about benefits over the past year. This temporal difference affects potential comparability.",partial
P_0103,FAPS_0372,Do you think that receiving a single daily reminder was the right number of reminders?,ACS_0094,What is this person’s marital status?,Marital,not_comparable,high,,,"Question A is about reminder frequency/effectiveness for a survey process, while Question B is about a demographic characteristic (marital status). No substantive conceptual overlap exists.",no
P_0104,FAPS_0372,Do you think that receiving a single daily reminder was the right number of reminders?,ACS_0095,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital,not_comparable,high,,12 months,"Question A appears to be about a study's reminder frequency, while Question B is explicitly about marital status changes. The topics are fundamentally different and unrelated.",no
P_0105,FAPS_0372,Do you think that receiving a single daily reminder was the right number of reminders?,ACS_0096,How many times has this person been married?,Marital,not_comparable,high,unspecified,lifetime,"Question A appears to be about a reminder frequency assessment, while Question B is a direct count of marriages, with no conceptual overlap",no
P_0106,FAPS_0372,Do you think that receiving a single daily reminder was the right number of reminders?,ACS_0097,In what year did this person last get married?,Marital,not_comparable,high,unspecified survey/intervention period,lifetime marriage history,"Questions address completely different topics (survey reminder satisfaction vs marital history) with no substantive overlap in content, purpose, or measurement intent",no
P_0107,FAPS_0458,How much did you /[Fill name] pay with the SNAP EBT card?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,specific transaction/moment,past 12 months,"Question A focuses on a specific payment transaction using SNAP EBT, while Question B asks about overall SNAP benefit receipt in a broader time period. A captures transaction detail, B captures program participation.",partial
