pair_id,primary_barrier_openai,feasibility_openai,specific_conflict_openai,additional_barriers_openai,reasoning_openai,primary_barrier_claude,feasibility_claude,specific_conflict_claude,additional_barriers_claude,reasoning_claude,barrier_l1_openai,barrier_l1_claude,arbitrated_barrier,arbitrated_feasibility,arbitration_source,arbitration_reasoning,final_barrier,final_feasibility,final_barrier_L1
CPS_0312,CC.1,F3,"CPS asks for reasons for absence, while ACS asks when the person last worked.",[],The questions are not comparable as they address different aspects of employment.,CC.1,F3,CPS asks reason for work absence (conditional on being absent); ACS asks timing of last work activity (employment recency),['MC.2'],Different constructs and universes. CPS is conditional on current employment and absence; ACS measures employment history. Reason for absence is unrelated to when someone last worked.,CC,CC,,,,,CC.1,F3,CC
CPS_0313,CC.1,F3,"CPS asks about multiple jobs, while ACS asks if the person worked for pay.",[],The questions focus on different employment aspects: job count versus work activity.,CC.2,F3,CPS asks about multiple job holding (operationalized as more than one job); ACS asks whether person worked for pay at any job (binary employment activity),['CC.4'],"Different operationalizations of employment. CPS measures job multiplicity (scope inclusion of secondary jobs); ACS measures basic employment activity. These capture different dimensions—one requires employment as prerequisite, the other is unconditional.",CC,CC,CC.1,F3,model_a,"The fundamental issue here is that the two questions measure entirely different concepts: CPS asks about multiple job holding (having more than one job), while ACS asks about basic employment status (whether the person worked for pay at all). This is a core concept definition difference (CC.1), not merely a difference in operationalization (CC.2). CC.2 would apply if both were measuring the same concept but using different behavioral indicators. Here, the concepts themselves are different - one measures job multiplicity, the other measures employment activity. Model B's reasoning about 'different operationalizations' incorrectly frames this as an operationalization issue when it's fundamentally about measuring different things. Someone who worked one job would answer 'Yes' to ACS but 'No' to CPS. These are incompatible (F3) because knowing if someone worked for pay tells you nothing about whether they held multiple jobs.",CC.1,F3,CC
CPS_0314,CC.2,F3,"CPS asks about multiple jobs, while ACS asks about any work for pay.",[],The constructs being measured are fundamentally different; CPS focuses on multiple job holdings while ACS measures any work for pay.,CC.1,F3,CPS asks about multiple jobs (job count); ACS asks about any work for pay (employment status). These measure different constructs.,['CC.4'],"CPS operationalizes employment through job multiplicity (how many jobs), while ACS operationalizes it through work participation (whether any work occurred). These are fundamentally different conceptual dimensions that cannot be mechanically reconciled.",CC,CC,CC.1,F3,model_b,"The core issue is that these questions measure fundamentally different concepts at the definitional level. CPS asks about job multiplicity (having MORE THAN ONE job), which presupposes employment and measures a count/plurality dimension. ACS asks about employment status itself (did they do ANY work). These are different core concepts being measured - not merely different ways of operationalizing the same concept. CC.1 (concept definition) is more appropriate than CC.2 (operationalization) because the questions aren't trying to measure the same underlying construct through different indicators; they're measuring entirely different constructs (job count vs. employment occurrence). Someone working one job would answer 'No' to CPS but 'Yes' to ACS, demonstrating the fundamental conceptual mismatch.",CC.1,F3,CC
CPS_0315,CC.2,F3,"CPS asks about multiple jobs, while ACS asks about layoff status.",[],The constructs are incompatible; CPS measures job holdings while ACS measures layoff status.,CC.1,F3,CPS asks about multiple jobs; ACS asks about layoff status. These measure entirely different employment concepts.,[],Job multiplicity and layoff status are distinct employment dimensions with no logical relationship. No recoding or statistical adjustment can bridge this conceptual gap.,CC,CC,CC.1,F3,model_b,"These two questions measure entirely different employment concepts at the definitional level. The CPS question asks about job multiplicity (whether someone holds more than one job), while the ACS question asks about layoff status (whether someone is temporarily separated from their job). This is a fundamental concept definition difference (CC.1) rather than an operationalization difference (CC.2). CC.2 would apply if both questions were trying to measure the same underlying concept but using different behavioral indicators - that's not the case here. These are simply different constructs with no shared conceptual core. Model B correctly identified this as CC.1 because the core terms and concepts being measured are fundamentally different, not just operationalized differently.",CC.1,F3,CC
CPS_0316,CC.2,F3,"CPS asks about multiple jobs, while ACS asks about temporary absence from a job.",[],The constructs are fundamentally different; CPS focuses on job holdings while ACS measures temporary absence.,CC.1,F3,CPS asks about multiple jobs; ACS asks about temporary absence from work. These measure different employment dimensions.,['CC.4'],"Job count and temporary absence status are orthogonal constructs. A person with multiple jobs may or may not be temporarily absent, making these non-comparable measures.",CC,CC,CC.1,F3,model_b,"Both models correctly identify this as a construct difference with F3 feasibility, but they differ on whether it's CC.1 (concept definition) or CC.2 (operationalization). The key distinction is that these questions measure entirely different employment concepts: CPS asks about job COUNT (having multiple jobs), while ACS asks about ABSENCE STATUS (temporarily away from work). These are not different ways of measuring the same underlying construct (which would be CC.2), but rather completely different conceptual dimensions of employment altogether. CC.1 is more appropriate because the core concepts being measured are fundamentally different - one measures labor market attachment breadth, the other measures work continuity/presence. They cannot be harmonized because knowing about multiple jobs tells you nothing about temporary absence and vice versa.",CC.1,F3,CC
CPS_0317,CC.2,F3,"CPS asks about multiple jobs, while ACS asks about the last time the person worked.",[],The constructs are incompatible; CPS measures job holdings while ACS measures the last work date.,CC.1,F3,CPS asks about current multiple jobs; ACS asks about timing of last work. These measure different employment dimensions.,['TC.2'],CPS measures current job multiplicity while ACS measures retrospective work history timing. These are fundamentally different constructs with different temporal framings.,CC,CC,CC.1,F3,model_b,"Both models correctly identify that these questions measure fundamentally different constructs and are incompatible (F3). The key distinction is whether this is CC.1 (concept definition) or CC.2 (operationalization). CC.1 is more appropriate because the core concepts being measured are entirely different: the CPS question measures job multiplicity (whether someone holds more than one job), while the ACS question measures work recency (when someone last worked). These are not different ways of measuring the same underlying concept - they are measuring completely different dimensions of employment. CC.2 would apply if both questions were trying to measure the same concept but using different behavioral indicators. Here, the concepts themselves are distinct.",CC.1,F3,CC
CPS_0318,CC.2,F3,"CPS asks for the total number of jobs, while ACS asks about working for pay.",[],The constructs are fundamentally different; CPS measures total job count while ACS measures any work for pay.,CC.1,F3,CPS asks for count of jobs; ACS asks whether any work occurred. These measure different employment dimensions.,['RS.1'],CPS produces a numeric count (ordinal/continuous) while ACS produces a binary yes/no response. The constructs are fundamentally different: job count vs. work participation.,CC,CC,CC.1,F3,model_b,"The fundamental issue is that these questions measure entirely different concepts: the survey question asks for a COUNT of jobs (how many), while the ACS question asks about OCCURRENCE of work (yes/no). This is a core concept definition difference - one measures job quantity, the other measures work participation. Model B correctly identifies this as CC.1 (concept definition) because 'number of jobs' and 'whether worked for pay' are fundamentally different constructs at the definitional level. Model A's CC.2 (operationalization) would apply if both questions were trying to measure the same underlying concept but using different behavioral indicators - but here the concepts themselves differ. The response scale difference (numeric count vs binary) is a downstream consequence of the construct difference, following the coding rule that CC > RS when scale difference reflects construct difference.",CC.1,F3,CC
CPS_0319,CC.2,F3,"CPS asks for the total number of jobs, while ACS asks about any work for pay.",[],The constructs are incompatible; CPS measures total job count while ACS measures any work for pay.,CC.1,F3,CPS asks for total job count; ACS asks about any work for pay. These measure different employment dimensions.,['RS.1'],"Job count (numeric) and work participation (binary) are distinct constructs. A person with multiple jobs answers both affirmatively, but the questions measure different aspects of employment.",CC,CC,CC.1,F3,model_b,"The fundamental barrier here is a concept definition difference (CC.1), not an operationalization difference (CC.2). The CPS question asks for a COUNT of jobs/businesses (numeric variable measuring quantity), while the ACS question asks about WHETHER the person did ANY work (binary variable measuring presence/absence of employment). These are fundamentally different constructs - one measures job multiplicity, the other measures labor force participation. CC.2 would apply if both questions were trying to measure the same concept but using different behavioral indicators; here, they are measuring entirely different employment dimensions. The total number of jobs cannot be derived from a yes/no work question, and vice versa - they capture different conceptual aspects of employment status.",CC.1,F3,CC
CPS_0320,CC.2,F3,"CPS asks for the total number of jobs, while ACS asks about layoff status.",[],The constructs are fundamentally different; CPS measures job count while ACS measures layoff status.,CC.1,F3,CPS asks for job count; ACS asks about layoff status. These are unrelated employment dimensions.,[],Job multiplicity and layoff status are orthogonal employment concepts with no logical relationship or recoding path.,CC,CC,CC.1,F3,model_b,"Both models correctly identify this as an F3 incompatibility involving construct differences. The key distinction is between CC.1 (concept definition) and CC.2 (operationalization). CC.2 applies when the same underlying concept is measured using different behavioral indicators. Here, however, the questions measure entirely different concepts: one asks about job COUNT (how many jobs a person holds), while the other asks about LAYOFF STATUS (whether someone was on layoff). These are not different ways of measuring the same construct - they are fundamentally different employment dimensions with no conceptual overlap. CC.1 is the correct subtype because the core concepts themselves are different, not merely different operationalizations of the same concept.",CC.1,F3,CC
CPS_0321,CC.2,F3,"CPS asks for the total number of jobs, while ACS asks about temporary absence.",[],The constructs are incompatible; CPS measures job count while ACS measures temporary absence.,CC.1,F3,CPS asks for job count; ACS asks about temporary absence. These measure different employment dimensions.,[],Job count and temporary absence status are distinct constructs. Temporary absence is independent of how many jobs a person holds.,CC,CC,CC.1,F3,model_b,"Both models correctly identify that these questions measure fundamentally different constructs and are incompatible (F3). The key distinction is between CC.1 (concept definition) and CC.2 (operationalization). CC.2 applies when questions measure the same underlying concept but use different behavioral indicators. Here, the questions measure entirely different concepts: one asks about job COUNT (quantity of employment), while the other asks about temporary ABSENCE status (work attachment during absence). These are not different ways of measuring the same thing - they are measuring completely different employment dimensions. This is a core conceptual difference (CC.1), not merely different operationalizations of the same concept.",CC.1,F3,CC
CPS_0322,CC.2,F3,"CPS asks for the total number of jobs, while ACS asks about the last time the person worked.",[],The constructs are fundamentally different; CPS measures job count while ACS measures last work date.,CC.1,F3,CPS asks for current job count; ACS asks when person last worked. These measure different employment dimensions.,['TC.2'],CPS measures current job multiplicity while ACS measures retrospective work history timing. These are fundamentally different temporal and conceptual framings.,CC,CC,CC.1,F3,model_b,"Both models correctly identify that these questions measure fundamentally different constructs and are incompatible (F3). The key distinction is whether this is CC.1 (concept definition) or CC.2 (operationalization). CC.1 applies when the core concepts being measured are different, while CC.2 applies when the same concept is measured through different behavioral indicators. Here, the Survey Question asks about job COUNT (a measure of employment multiplicity), while the ACS asks about TIMING of last work (a measure of labor force recency). These are not different ways of measuring the same construct - they are entirely different constructs about employment. 'Number of jobs' and 'when last worked' are fundamentally different concepts, not different operationalizations of the same concept. Therefore CC.1 (concept definition) is the correct coding.",CC.1,F3,CC
CPS_0323,CC.2,F3,"CPS asks about desire to work full-time, while ACS asks about any work for pay.",[],The constructs are incompatible; CPS measures desire for full-time work while ACS measures any work for pay.,CC.1,F3,CPS asks about work preferences/desires (full-time preference); ACS asks about actual work participation. These measure different constructs.,['CC.2'],CPS measures work preferences/intentions while ACS measures actual work behavior. These are fundamentally different dimensions: desire vs. action.,CC,CC,CC.1,F3,model_b,"The fundamental barrier here is a concept definition difference (CC.1), not operationalization (CC.2). The CPS question measures a subjective preference or desire (wanting to work full-time), while the ACS question measures an objective behavior (actually working for pay last week). These are entirely different constructs at the conceptual level - one captures labor market preferences/intentions, the other captures actual labor market participation. CC.2 would apply if both questions were trying to measure the same underlying concept but using different behavioral indicators; here, they are measuring fundamentally different concepts (desire vs. action). This is not a matter of different operationalizations of the same construct, but rather two completely different constructs being measured.",CC.1,F3,CC
CPS_0324,CC.1,F3,"CPS asks about desire to work full-time, while ACS asks about actual work done last week.",[],The core concepts differ fundamentally; one is about intention while the other is about actual employment activity.,CC.1,F3,CPS measures preference/desire for full-time work (35+ hrs/week); ACS measures actual work activity in past week,['TC.2'],These questions operationalize fundamentally different constructs: CPS captures work preferences/intentions while ACS captures actual work behavior. The temporal framing also differs (habitual preference vs. point-in-time activity).,CC,CC,,,,,CC.1,F3,CC
CPS_0325,CC.1,F3,"CPS asks about desire to work full-time, while ACS asks about being on layoff.",[],"The questions address different employment statuses, making them incompatible for consolidation.",CC.1,F3,CPS measures preference for full-time work; ACS measures layoff status (employment interruption),[],These measure entirely different employment constructs with no logical relationship. Layoff status is an employment circumstance unrelated to work hour preferences.,CC,CC,,,,,CC.1,F3,CC
CPS_0326,CC.1,F3,"CPS asks about desire to work full-time, while ACS asks about temporary absence from a job.",[],The focus on intention versus temporary absence creates a fundamental mismatch in concepts.,CC.1,F3,CPS measures preference for full-time work; ACS measures temporary absence from job (employment continuity),[],These capture different employment dimensions. Temporary absence indicates job attachment while preference for full-time work indicates desired work intensity.,CC,CC,,,,,CC.1,F3,CC
CPS_0327,CC.1,F3,"CPS asks about desire to work full-time, while ACS asks about the last time the person worked.",[],The questions are incompatible as they measure different aspects of employment status.,CC.1,F3,CPS measures preference for full-time work; ACS measures timing of last work activity (employment recency),['TC.2'],CPS asks about work preferences while ACS asks about employment history/recency. These are conceptually distinct with different temporal framings.,CC,CC,,,,,CC.1,F3,CC
CPS_0328,CC.1,F3,"CPS asks for the main reason for part-time work, while ACS asks if the person worked for pay last week.",[],"The questions differ in focus; one is about reasons for part-time work, while the other is about recent work activity.",CC.1,F3,CPS measures reasons for part-time work (conditional on part-time status); ACS measures whether any paid work occurred,['PC.1'],CPS targets part-time workers and asks for causal attribution; ACS asks all respondents about work activity. Different universes and different construct types (reason vs. activity).,CC,CC,,,,,CC.1,F3,CC
CPS_0329,CC.1,F3,"CPS asks for the main reason for part-time work, while ACS asks if the person did any work for pay last week.",[],The fundamental difference in focus on reasons versus actual work done makes consolidation impossible.,CC.1,F3,CPS measures reasons for part-time work (causal attribution); ACS measures any work activity regardless of hours,['PC.1'],CPS is conditional on part-time employment and asks for reasons; ACS is a universal work activity question. Different universes and different construct types.,CC,CC,,,,,CC.1,F3,CC
CPS_0330,CC.1,F3,"CPS asks for the main reason for part-time work, while ACS asks if the person was on layoff.",[],The questions are incompatible as they address different employment situations.,CC.1,F3,CPS measures reasons for part-time work; ACS measures layoff status,[],These measure unrelated employment constructs. Layoff status is an employment circumstance with no logical connection to reasons for part-time work.,CC,CC,,,,,CC.1,F3,CC
CPS_0331,CC.1,F3,"CPS asks for the main reason for part-time work, while ACS asks about temporary absence from a job.",[],The focus on reasons for part-time work versus temporary absence creates a fundamental mismatch.,CC.1,F3,CPS measures reasons for part-time work; ACS measures temporary absence from job,[],These capture different employment dimensions. Temporary absence indicates job attachment while reasons for part-time work addresses work intensity preferences/constraints.,CC,CC,,,,,CC.1,F3,CC
CPS_0332,CC.1,F3,"CPS asks for the main reason for part-time work, while ACS asks when the person last worked.",[],The questions are incompatible as they measure different aspects of employment status.,CC.1,F3,CPS measures reasons for part-time work; ACS measures timing of last work activity,['TC.2'],CPS asks about causal reasons for current part-time status; ACS asks about employment history/recency. Different construct types and temporal framings.,CC,CC,,,,,CC.1,F3,CC
CPS_0333,CC.1,F3,"CPS asks about reasons for not wanting to work full-time, while ACS asks if the person worked for pay last week.",[],The focus on reasons for not wanting full-time work versus actual work done creates a fundamental mismatch.,CC.1,F3,CPS measures reasons for not wanting full-time work (causal attribution); ACS measures whether any paid work occurred,['PC.1'],CPS targets those not wanting full-time work and asks for reasons; ACS is a universal work activity question. Different universes and different construct types (reason vs. activity).,CC,CC,,,,,CC.1,F3,CC
CPS_0334,CC.1,F3,"CPS asks for reasons for not wanting to work full time, while ACS asks if any work was done.",[],"The core concepts differ fundamentally; one is about motivation for work hours, the other about actual work engagement.",CC.1,F3,CPS asks for reasons why someone does NOT want full-time work (attitudinal/preference question); ACS asks whether any work for pay occurred last week (behavioral yes/no question),"['TC.2', 'RS.1']",Fundamentally different constructs: CPS measures preferences/motivations while ACS measures actual work behavior. Different temporal framing (habitual preference vs. point-in-time behavior) and completely different response scales (open-ended reasons vs. yes/no).,CC,CC,,,,,CC.1,F3,CC
CPS_0335,CC.1,F3,"CPS inquires about reasons for not wanting full-time work, while ACS asks about layoff status.",[],"The questions address different constructs; one focuses on personal choice, the other on employment status.",CC.1,F3,CPS asks for reasons why someone does NOT want full-time work (preference/motivation); ACS asks whether person was on layoff (employment status condition),['RS.1'],Different constructs entirely: CPS measures subjective preferences while ACS measures objective employment status. No logical connection between wanting full-time work and current layoff status.,CC,CC,,,,,CC.1,F3,CC
CPS_0336,CC.1,F3,"CPS seeks reasons for not wanting full-time work, while ACS asks about temporary absence from work.",[],"The constructs are incompatible; one is about desire for work hours, the other about absence due to circumstances.",CC.1,F3,CPS asks for reasons why someone does NOT want full-time work (preference question); ACS asks whether person was temporarily absent from job (employment status condition),['RS.1'],Different constructs: CPS measures preferences/motivations while ACS measures temporary absence status. These address different dimensions of employment.,CC,CC,,,,,CC.1,F3,CC
CPS_0337,CC.1,F3,"CPS asks for reasons for not wanting full-time work, while ACS asks when the person last worked.",[],"The questions are fundamentally different; one is about motivation, the other about work history.",CC.1,F3,CPS asks for reasons why someone does NOT want full-time work (preference/motivation); ACS asks when person last worked (work history timing),"['TC.2', 'RS.1']",Different constructs and temporal framings: CPS measures current preferences while ACS measures retrospective work history. Response scales are incompatible (reasons vs. time period).,CC,CC,,,,,CC.1,F3,CC
CPS_0338,CC.1,F3,"CPS asks for reasons for absence from work, while ACS asks if any work was done.",[],"The constructs differ; one focuses on reasons for absence, the other on actual work performed.",CC.1,F3,CPS asks for reasons why someone was absent from work (explanation of absence); ACS asks whether person worked for pay last week (work occurrence yes/no),['RS.1'],"Different constructs: CPS presupposes employment and asks for absence reasons, while ACS asks about work occurrence. CPS targets employed persons with absences; ACS targets all persons.",CC,CC,,,,,CC.1,F3,CC
CPS_0339,CC.1,F3,"CPS inquires about reasons for absence, while ACS asks if any work was done.",[],"The questions are not comparable; one is about absence reasons, the other about work engagement.",CC.1,F3,"CPS asks for reasons why someone was absent from work (explanation of absence); ACS asks whether any work for pay occurred, even minimal (work occurrence yes/no)","['PC.1', 'RS.1']",Different universes and constructs: CPS targets employed persons with absences; ACS targets all persons. CPS measures absence reasons while ACS measures work occurrence. Incompatible response scales.,CC,CC,,,,,CC.1,F3,CC
CPS_0340,CC.1,F3,"CPS asks for reasons for absence, while ACS asks about layoff status.",[],"The constructs are incompatible; one is about reasons for absence, the other about employment status.",CC.1,F3,CPS asks for reasons why someone was absent from work (explanation of absence); ACS asks whether person was on layoff (employment status condition),"['PC.1', 'RS.1']","Different universes and constructs: CPS targets employed persons with absences; ACS asks about layoff status. Layoff is a specific employment condition, not an absence reason.",CC,CC,,,,,CC.1,F3,CC
CPS_0341,CC.1,F3,"CPS seeks reasons for absence, while ACS asks about temporary absence.",[],"The questions differ fundamentally; one is about reasons, the other about the nature of absence.",CC.1,F2,CPS asks for reasons why someone was absent from work (explanation of absence); ACS asks whether person was temporarily absent from job (temporary absence status),['RS.1'],"Related but distinct constructs: CPS asks for reasons explaining absence while ACS asks whether temporary absence occurred. Could potentially use ACS temporary absence as one category of CPS reasons, but requires statistical mapping.",CC,CC,CC.1,F3,model_a,"Both models correctly identify CC.1 as the barrier - these questions measure fundamentally different constructs. The CPS question asks for the REASON/explanation for absence (a categorical variable capturing illness, vacation, childcare, etc.), while the ACS question asks only WHETHER temporary absence occurred (a binary yes/no status variable). The feasibility should be F3 (incompatible) rather than F2 because you cannot derive specific reasons for absence from a simple binary indicator of whether absence occurred. Model B's suggestion that ACS temporary absence could be mapped to CPS reasons is logically flawed - knowing someone was temporarily absent tells you nothing about WHY they were absent. The information flows only one direction: knowing CPS reasons tells you absence occurred, but knowing ACS absence occurred tells you nothing about the reason. This is not a statistical adjustment problem; it's a fundamental information gap that cannot be bridged.",CC.1,F3,CC
CPS_0342,CC.1,F3,"CPS asks for reasons for absence, while ACS asks when the person last worked.",[],"The constructs are not comparable; one focuses on reasons, the other on work history.",CC.1,F3,CPS asks for reasons why someone was absent from work (explanation of absence); ACS asks when person last worked (work history timing),"['TC.2', 'RS.1']",Different constructs and temporal framings: CPS measures absence reasons for employed persons; ACS measures retrospective work history timing. Incompatible response scales and universes.,CC,CC,,,,,CC.1,F3,CC
CPS_0343,CC.1,F3,"CPS asks if the person could have worked full time, while ACS asks if any work was done.",[],"The questions address different constructs; one is about potential work, the other about actual work performed.",CC.2,F3,CPS asks whether person COULD have worked full time if hours available (capacity/willingness conditional); ACS asks whether person worked for pay last week (actual work behavior),['RS.1'],Different operationalizations: CPS measures hypothetical capacity/willingness while ACS measures actual work occurrence. CPS is counterfactual; ACS is factual. Incompatible response scales (yes/no conditional vs. yes/no actual).,CC,CC,CC.1,F3,model_a,"The fundamental issue is a concept definition difference, not an operationalization difference. The CPS question measures hypothetical/counterfactual capacity ('could you have worked full time IF hours were available') while ACS measures actual labor behavior ('did this person work for pay'). These are entirely different concepts: potential availability vs. actual work performed. Model B's CC.2 (operationalization) would apply if both questions were trying to measure the same underlying concept through different behavioral indicators, but here the core concepts themselves differ - one is about willingness/availability under a counterfactual condition, the other is about factual work occurrence. This is a CC.1 concept definition difference because 'capacity to work if hours available' and 'actual work performed' are fundamentally different constructs, not different ways of measuring the same construct.",CC.1,F3,CC
CPS_0344,CC.1,F3,"CPS asks about potential full-time work availability, while ACS asks about any work done.",['TC.2'],"The core concepts differ: CPS focuses on potential work availability, whereas ACS measures actual work done, leading to fundamentally different constructs.",CC.2,F3,CPS asks about conditional capacity (could work full time IF hours available); ACS asks about actual work performed (did ANY work for pay),['CC.1'],"These measure fundamentally different constructs. CPS operationalizes employment readiness/availability as a hypothetical capacity, while ACS operationalizes employment as actual behavior. The CPS question targets underemployed persons, while ACS targets those with any paid work activity.",CC,CC,CC.1,F3,model_a,"Both models correctly identify that these questions measure fundamentally different constructs and agree on F3 feasibility. The key disagreement is CC.1 vs CC.2. The CPS question asks about hypothetical capacity/availability ('could you have worked full time IF hours available'), while ACS asks about actual work behavior ('did this person do ANY work'). This is not merely a difference in operationalization (CC.2 - different behavioral indicators for the same concept), but rather a fundamental difference in what concept is being measured (CC.1). CPS measures labor market availability/underemployment capacity, while ACS measures actual employment status. These are different core concepts entirely - potential vs. actual, hypothetical vs. realized - not two different ways of measuring the same underlying construct.",CC.1,F3,CC
CPS_0345,CC.1,F3,"CPS inquires about potential full-time work, while ACS asks about layoff status.",['TC.2'],"The constructs are incompatible; CPS is about potential work availability, while ACS focuses on employment status related to layoffs.",CC.1,F3,CPS asks about conditional work capacity (could work full time IF hours available); ACS asks about specific employment status (on layoff),['CC.2'],These measure entirely different employment concepts. CPS measures availability/willingness under hypothetical conditions; ACS measures a specific employment status category. No logical mapping exists between these constructs.,CC,CC,,,,,CC.1,F3,CC
CPS_0346,CC.1,F3,"CPS asks about potential work availability, while ACS inquires about temporary absence from work.",['TC.2'],"The constructs differ significantly; CPS is about potential work availability, while ACS measures absence from work, making them incompatible.",CC.1,F3,CPS asks about conditional work capacity (could work full time IF hours available); ACS asks about temporary absence status,['CC.2'],These measure different employment concepts. CPS measures underemployment/availability; ACS measures a specific employment status (temporarily absent). These are orthogonal dimensions of employment.,CC,CC,,,,,CC.1,F3,CC
CPS_0347,CC.1,F3,"CPS asks about potential work availability, while ACS asks about the last time the person worked.",['TC.2'],"The constructs are fundamentally different; CPS focuses on potential work availability, while ACS measures past work experience.",CC.1,F3,CPS asks about conditional work capacity (could work full time IF hours available); ACS asks about timing of last work activity,['TC.2'],These measure different constructs entirely. CPS measures current availability/capacity; ACS measures historical work recency. The temporal framing differs (hypothetical vs retrospective) and the underlying concepts are distinct.,CC,CC,,,,,CC.1,F3,CC
CPS_0348,CC.1,F3,"CPS asks about a return-to-work date, while ACS asks if the person worked for pay.",['TC.2'],"The constructs are incompatible; CPS is about future work potential, while ACS measures actual work done in the past week.",CC.1,F3,CPS asks about employer-provided return date (indicating temporary separation); ACS asks about actual work performed in reference week,"['CC.2', 'TC.2']","These measure different employment concepts. CPS targets persons on temporary layoff with recall expectations; ACS measures actual work activity. A person with a return date may not have worked last week, and vice versa.",CC,CC,,,,,CC.1,F3,CC
CPS_0349,CC.1,F3,"CPS asks about a return-to-work date, while ACS asks if the person did any work for pay.",['TC.2'],"The constructs differ significantly; CPS focuses on potential future work, while ACS measures actual work done, making them incompatible.",CC.1,F3,CPS asks about employer-provided return date (indicating temporary separation); ACS asks about any paid work activity,['CC.2'],These measure different employment concepts. CPS identifies persons on temporary layoff with recall expectations; ACS measures actual work performed. These are distinct employment statuses with no direct correspondence.,CC,CC,,,,,CC.1,F3,CC
CPS_0350,CC.1,F2,"CPS asks about a return-to-work date, while ACS asks about layoff status.",['TC.2'],"While related, the constructs differ; CPS focuses on future work potential, while ACS measures current employment status, requiring statistical adjustment.",CC.2,F2,CPS asks about employer-provided return date (operationalizing temporary layoff with recall); ACS asks about layoff status directly,['TC.2'],"Both target layoff status but operationalize it differently. CPS uses return date as an indicator of temporary layoff; ACS directly asks about layoff status. Statistical adjustment could map CPS return date responses to ACS layoff categories, but requires assumptions about what constitutes a layoff.",CC,CC,CC.2,F2,model_b,"Both questions are ultimately about layoff status, so the core construct (being on layoff) is the same - this rules out CC.1 (different meaning of core term). The key difference is HOW they measure layoff status: CPS uses an indirect operationalization by asking whether the employer gave a return date (which indicates temporary layoff with expected recall), while ACS directly asks about layoff status. This is a classic operationalization difference - two different behavioral indicators measuring the same underlying concept. Statistical adjustment is feasible but requires assumptions about the relationship between having a return date and being classified as 'on layoff.'",CC.2,F2,CC
CPS_0351,CC.1,F3,"CPS asks about a return-to-work date, while ACS asks about temporary absence from work.",['TC.2'],"The constructs are fundamentally different; CPS is about future work potential, while ACS measures current absence, making them incompatible.",CC.1,F3,CPS asks about employer-provided return date (indicating temporary separation); ACS asks about temporary absence status,['CC.2'],"These measure different concepts. CPS targets persons on layoff with recall expectations; ACS measures temporary absence from a job. A person with a return date may not be temporarily absent, and vice versa.",CC,CC,,,,,CC.1,F3,CC
CPS_0352,CC.1,F3,"CPS asks about a return-to-work date, while ACS asks when the person last worked.",['TC.2'],"The constructs differ significantly; CPS focuses on future work potential, while ACS measures past work experience, making them incompatible.",CC.1,F3,CPS asks about employer-provided return date (indicating temporary separation); ACS asks about timing of last work activity,['TC.2'],These measure different constructs. CPS targets persons on temporary layoff; ACS measures work recency. These are orthogonal dimensions of employment history and status.,CC,CC,,,,,CC.1,F3,CC
CPS_0353,CC.1,F3,"CPS asks about indications of recall to work, while ACS asks if the person worked for pay.",['TC.2'],"The constructs are fundamentally different; CPS focuses on potential future recall, while ACS measures actual work done, making them incompatible.",CC.1,F3,CPS asks about future recall indication within 6 months (prospective expectation); ACS asks about actual work performed last week (retrospective behavior),"['TC.1', 'TC.2']",These measure fundamentally different constructs with different temporal orientations. CPS measures future employment expectations/prospects; ACS measures past work activity. No direct mapping exists between these concepts.,CC,CC,,,,,CC.1,F3,CC
CPS_0354,TC.1,F3,"CPS asks about future recall to work, while ACS asks about work done in the last week.",['CC.1'],"The primary issue is the temporal reference; CPS is focused on future potential recall, whereas ACS is concerned with past work activity.",CC.1,F3,"CPS asks about future recall expectation (prospective, conditional); ACS asks about actual work performed last week (retrospective, behavioral)",['TC.2'],"These measure fundamentally different constructs: CPS captures employer indication of future recall (expectation/intention), while ACS captures actual work behavior. The temporal framing is also different (prospective vs. retrospective).",TC,CC,CC.1,F3,model_b,"While there is a temporal dimension (prospective vs retrospective), the fundamental issue is that these questions measure completely different constructs. The CPS question asks about employer signals regarding future recall expectations for someone who is currently laid off - this captures employment expectations/intentions. The ACS question asks about actual work behavior performed last week - this captures labor force participation through work activity. These are fundamentally different concepts: one is about anticipated employment status, the other about current work behavior. Per the coding rules, CC (Construct) takes precedence over TC (Temporal) when the temporal difference implies a construct difference. The temporal framing here is a consequence of the different constructs being measured, not the primary barrier.",CC.1,F3,CC
CPS_0355,TC.1,F3,"CPS inquires about future recall to work, while ACS asks if the person was on layoff last week.",['CC.1'],"The temporal focus is incompatible; CPS is about future expectations, while ACS is about past status.",CC.1,F3,CPS asks about future recall expectation; ACS asks about current layoff status (actual employment state),['TC.2'],"CPS measures prospective employer communication about potential recall; ACS measures current employment status. These are related but distinct constructs—one is forward-looking expectation, the other is current state.",TC,CC,CC.1,F3,model_b,"While both models correctly identify F3 incompatibility, the primary barrier is construct-based rather than temporal. The CPS question asks about RECALL EXPECTATIONS - whether the employer has communicated future return to work. The ACS question asks about LAYOFF STATUS - whether someone is currently laid off. These are fundamentally different constructs: one measures employer communication/expectation about future employment, the other measures current employment state. The temporal difference (future vs. last week) is a symptom of the deeper construct difference. Per the coding rules, CC > TC when temporal difference implies a construct difference. Someone on layoff (ACS) may or may not have recall expectations (CPS), and vice versa - these tap different conceptual domains.",CC.1,F3,CC
